SMOTE,CTGAN,TVAE,mean,std
0.0,0.0,0.0,2.1205,0.3441
0.0,0.3,0.1,2.2798,0.3565
0.0,0.0,0.1,2.2805,0.3655
0.0,0.5,0.1,2.2925,0.3482
0.0,0.0,0.3,2.3095,0.335
0.0,0.2,0.1,2.3185,0.3799
0.0,0.1,0.1,2.3197,0.3912
0.0,0.2,0.5,2.3247,0.3516
0.0,0.0,0.5,2.3322,0.3335
0.0,0.3,0.4,2.3344,0.3131
0.0,0.5,0.4,2.3402,0.3414
0.0,0.4,0.1,2.3426,0.3612
0.0,0.5,0.5,2.348,0.3552
0.0,0.4,0.4,2.3485,0.3566
0.0,0.1,0.4,2.3495,0.3973
0.0,0.0,0.4,2.3505,0.3659
0.0,0.1,0.2,2.3558,0.331
0.0,0.1,0.3,2.359,0.4047
0.0,0.5,0.2,2.3666,0.333
0.0,0.2,0.3,2.3687,0.345
0.0,0.4,0.3,2.3718,0.3564
0.0,0.5,0.3,2.3779,0.3572
0.0,0.1,0.5,2.3779,0.3061
0.0,0.2,0.2,2.3781,0.3928
0.0,0.2,0.4,2.3804,0.3235
0.0,0.0,0.2,2.3956,0.3853
0.0,0.3,0.2,2.3972,0.3733
0.0,0.4,0.5,2.4066,0.4209
0.0,0.3,0.3,2.421,0.3524
0.0,0.3,0.5,2.434,0.3473
0.0,0.4,0.2,2.4361,0.4288
0.0,0.1,0.0,2.7533,0.3589
0.0,0.2,0.0,3.235,0.7489
0.0,0.3,0.0,3.6731,0.6859
0.05,0.0,0.0,3.7826,1.3848
0.0,0.4,0.0,4.1067,0.7513
0.0,0.5,0.0,4.3108,0.6637
0.05,0.5,0.1,4.912,3.2372
0.05,0.1,0.2,4.9228,3.2364
0.05,0.3,0.1,4.9342,3.2633
0.05,0.2,0.4,4.9357,3.3328
0.05,0.1,0.4,4.9364,3.2191
0.05,0.5,0.2,4.9429,3.2753
0.05,0.3,0.4,4.9432,3.2621
0.05,0.4,0.3,4.9554,3.3022
0.05,0.3,0.5,4.9575,3.2246
0.05,0.1,0.0,4.9765,2.7121
0.05,0.4,0.5,4.9771,3.3701
0.05,0.4,0.1,4.9803,3.2969
0.05,0.5,0.4,4.982,3.2886
0.05,0.4,0.2,4.9854,3.3232
0.05,0.1,0.3,4.9921,3.2907
0.05,0.0,0.2,4.9922,3.0066
0.05,0.3,0.2,4.995,3.3054
0.05,0.1,0.1,5.0055,3.3464
0.05,0.4,0.4,5.0213,3.3517
0.05,0.5,0.5,5.0214,3.29
0.05,0.2,0.2,5.03,3.3086
0.05,0.0,0.5,5.0399,3.3831
0.05,0.3,0.3,5.0473,3.3377
0.05,0.1,0.5,5.0481,3.3173
0.05,0.2,0.5,5.0515,3.3896
0.05,0.5,0.3,5.067,3.3064
0.05,0.2,0.1,5.0847,3.4284
0.05,0.2,0.3,5.0944,3.2949
0.05,0.0,0.4,5.1452,3.4023
0.05,0.0,0.1,5.1707,3.1135
0.05,0.0,0.3,5.3114,3.3856
0.05,0.2,0.0,6.0832,3.3238
0.05,0.3,0.0,6.2463,3.3188
0.05,0.4,0.0,6.8027,3.6231
0.05,0.5,0.0,6.9382,3.3746
0.1,0.0,0.0,7.5526,2.5698
0.1,0.3,0.5,10.5543,7.6061
0.1,0.2,0.5,10.5639,7.5562
0.1,0.2,0.1,10.5953,7.4043
0.1,0.3,0.2,10.5982,7.5455
0.1,0.3,0.4,10.668,7.7394
0.1,0.3,0.3,10.8443,7.7242
0.1,0.3,0.1,10.8923,7.619
0.1,0.5,0.1,10.9477,7.46
0.1,0.2,0.2,10.9533,7.7236
0.1,0.2,0.4,10.9783,7.8329
0.1,0.4,0.2,11.0235,7.6627
0.1,0.5,0.4,11.0409,7.8929
0.1,0.2,0.3,11.0813,7.9566
0.1,0.5,0.2,11.11,7.4127
0.1,0.0,0.1,11.1133,7.2786
0.1,0.5,0.5,11.1248,7.613
0.1,0.4,0.1,11.1925,7.6783
0.1,0.4,0.3,11.304,7.6589
0.1,0.4,0.5,11.3115,7.8705
0.1,0.4,0.4,11.4642,7.8353
0.1,0.5,0.3,11.6359,8.236
0.1,0.0,0.2,11.8461,8.3714
0.1,0.2,0.0,12.1457,7.709
0.1,0.3,0.0,12.4166,7.613
0.1,0.0,0.4,12.5295,9.0873
0.1,0.4,0.0,12.6617,7.4659
0.1,0.0,0.3,12.7338,8.8539
0.15,0.2,0.1,12.757,5.6188
0.15,0.0,0.2,12.8158,5.9283
0.15,0.5,0.2,12.8705,5.9232
0.15,0.3,0.5,12.9993,5.655
0.15,0.2,0.2,13.1073,6.109
0.15,0.0,0.3,13.1076,6.1986
0.1,0.1,0.1,13.116,10.4414
0.15,0.5,0.4,13.1271,5.5799
0.1,0.1,0.4,13.2169,10.5542
0.15,0.4,0.3,13.2613,5.6783
0.15,0.1,0.5,13.3123,5.7723
0.1,0.0,0.5,13.3436,10.1721
0.15,0.4,0.4,13.5079,5.6693
0.1,0.5,0.0,13.5435,7.4086
0.1,0.1,0.0,13.5639,10.2509
0.15,0.0,0.4,13.5667,6.4405
0.15,0.5,0.3,13.5764,5.9898
0.15,0.5,0.5,13.6071,5.8653
0.15,0.3,0.4,13.6541,5.2428
0.15,0.1,0.3,13.6596,5.8509
0.1,0.1,0.3,13.6624,11.2338
0.15,0.0,0.5,13.6812,6.5702
0.15,0.4,0.5,13.7016,5.6559
0.15,0.4,0.2,13.7387,5.5484
0.15,0.5,0.1,13.776,6.483
0.15,0.1,0.4,13.8609,6.0747
0.1,0.1,0.5,13.8705,10.864
