SMOTE,CTGAN,TVAE,mean,std
0.2,0.0,0.5,0.8049,0.0004
0.2,0.0,0.4,0.808,0.0011
0.2,0.1,0.4,0.8081,0.0005
0.2,0.0,0.3,0.8102,0.001
0.2,0.1,0.3,0.8104,0.001
0.2,0.1,0.0,0.8137,0.0016
0.2,0.0,0.2,0.8139,0.0005
0.2,0.1,0.2,0.8141,0.001
0.2,0.0,0.1,0.8181,0.0012
0.2,0.1,0.1,0.8184,0.0016
0.1,0.0,0.5,0.832,0.0009
0.1,0.0,0.4,0.8352,0.0009
0.1,0.1,0.4,0.8355,0.0016
0.1,0.1,0.3,0.8378,0.0013
0.1,0.0,0.3,0.8381,0.0011
0.2,0.0,0.0,0.8386,0.0131
0.1,0.1,0.0,0.8408,0.0008
0.2,0.2,0.0,0.841,0.0013
0.1,0.0,0.2,0.8416,0.0003
0.1,0.1,0.2,0.8421,0.0012
0.1,0.0,0.1,0.8457,0.0008
0.1,0.1,0.1,0.846,0.0004
0.1,0.0,0.0,0.8613,0.0076
0.0,0.2,0.0,0.8631,0.0017
0.0,0.1,0.5,0.865,0.001
0.0,0.0,0.5,0.865,0.0015
0.0,0.0,0.4,0.8684,0.0008
0.0,0.1,0.4,0.8685,0.0008
0.0,0.1,0.0,0.871,0.001
0.0,0.1,0.3,0.8719,0.0016
0.0,0.0,0.3,0.872,0.0014
0.0,0.0,0.2,0.8763,0.001
0.0,0.1,0.2,0.8764,0.0009
0.0,0.1,0.1,0.8813,0.0009
0.0,0.2,0.1,0.8818,0.0009
0.0,0.0,0.1,0.882,0.0007
0.0,0.0,0.0,0.8902,0.0009
