SMOTE,CTGAN,TVAE,mean,std
0.0,0.2,0.5,0.7496,0.0002
0.0,0.1,0.5,0.7497,0.0003
0.0,0.0,0.5,0.7498,0.0002
0.0,0.0,0.4,0.7505,0.0003
0.0,0.2,0.4,0.7505,0.0003
0.0,0.3,0.0,0.7506,0.0003
0.0,0.1,0.4,0.7506,0.0002
0.0,0.1,0.3,0.7514,0.0003
0.0,0.0,0.3,0.7514,0.0003
0.0,0.2,0.3,0.7514,0.0003
0.0,0.2,0.0,0.752,0.0001
0.0,0.0,0.2,0.7524,0.0003
0.0,0.1,0.2,0.7525,0.0002
0.0,0.2,0.2,0.7525,0.0003
0.0,0.1,0.0,0.7536,0.0004
0.0,0.1,0.1,0.7536,0.0004
0.0,0.3,0.1,0.7537,0.0003
0.0,0.0,0.1,0.7537,0.0003
0.0,0.2,0.1,0.7537,0.0004
0.0,0.0,0.0,0.7551,0.0003
