SMOTE,CTGAN,TVAE,mean,std
0.1,0.5,1.0,0.6031,0.0081
0.1,0.6,1.0,0.6091,0.0023
0.1,0.2,1.0,0.6098,0.0072
0.1,0.3,1.0,0.6099,0.0027
0.1,0.1,1.0,0.6107,0.0049
0.1,0.4,1.0,0.6108,0.0076
0.2,0.5,0.0,0.6115,0.0032
0.1,0.2,0.9,0.6119,0.0074
0.1,0.1,0.9,0.613,0.0045
0.1,0.5,0.9,0.6133,0.0077
0.1,0.3,0.9,0.6136,0.0024
0.1,0.6,0.9,0.6138,0.0046
0.1,0.4,0.9,0.6141,0.0067
0.1,0.0,1.0,0.6144,0.0073
0.1,0.5,0.8,0.6155,0.0049
0.1,0.0,0.9,0.6172,0.0048
0.2,0.2,0.5,0.6178,0.003
0.1,0.7,0.0,0.618,0.0039
0.2,0.4,0.5,0.6182,0.004
0.1,0.3,0.8,0.6194,0.0033
0.1,0.2,0.8,0.62,0.0069
0.1,0.6,0.8,0.6205,0.006
0.2,0.3,0.5,0.6206,0.0066
0.1,0.6,0.0,0.6206,0.005
0.1,0.1,0.8,0.6208,0.002
0.2,0.4,0.0,0.621,0.0045
0.2,0.2,0.4,0.6211,0.0032
0.1,0.4,0.8,0.6216,0.0083
0.2,0.0,0.5,0.6225,0.0055
0.2,0.1,0.5,0.6228,0.0052
0.1,0.3,0.7,0.623,0.0076
0.1,0.0,0.8,0.6236,0.0049
0.1,0.4,0.7,0.6238,0.0057
0.2,0.4,0.4,0.6248,0.0055
0.1,0.2,0.7,0.6251,0.0066
0.1,0.5,0.7,0.6254,0.0051
0.1,0.6,0.7,0.6258,0.0071
0.2,0.3,0.4,0.6258,0.0033
0.1,0.5,0.6,0.6267,0.0019
0.1,0.1,0.7,0.6268,0.0042
0.2,0.0,0.4,0.6269,0.0051
0.1,0.0,0.7,0.6275,0.0067
0.1,0.5,0.0,0.6275,0.0061
0.1,0.6,0.6,0.628,0.0042
0.2,0.1,0.4,0.6281,0.0057
0.1,0.2,0.6,0.6287,0.0024
0.1,0.4,0.6,0.6295,0.0061
0.2,0.3,0.0,0.6296,0.0059
0.1,0.3,0.6,0.6304,0.0066
0.1,0.5,0.5,0.6316,0.0067
0.2,0.0,0.3,0.6319,0.0059
0.1,0.0,0.6,0.632,0.0033
0.2,0.3,0.3,0.6321,0.0054
0.2,0.1,0.3,0.6329,0.0041
0.2,0.2,0.3,0.6336,0.0052
0.2,0.4,0.3,0.6341,0.0047
0.1,0.3,0.5,0.6352,0.006
0.1,0.1,0.6,0.6353,0.0056
0.1,0.6,0.5,0.6359,0.0105
0.1,0.2,0.5,0.636,0.0045
0.2,0.2,0.0,0.6365,0.0039
0.1,0.7,0.5,0.6372,0.0033
0.1,0.1,0.5,0.6373,0.0049
0.1,0.5,0.4,0.6376,0.004
0.1,0.4,0.0,0.6384,0.0035
0.1,0.4,0.5,0.6401,0.0075
0.2,0.3,0.2,0.641,0.0029
0.1,0.0,0.5,0.6414,0.0056
0.1,0.4,0.4,0.6415,0.0063
0.1,0.6,0.4,0.6423,0.0105
0.1,0.7,0.4,0.6423,0.0093
0.2,0.4,0.2,0.6426,0.0041
0.2,0.0,0.2,0.6428,0.0041
0.2,0.2,0.2,0.643,0.0027
0.1,0.2,0.4,0.6437,0.0056
0.2,0.1,0.2,0.6452,0.007
0.1,0.3,0.0,0.6453,0.003
0.1,0.3,0.4,0.6454,0.0068
0.2,0.5,0.1,0.6479,0.0069
0.2,0.1,0.1,0.648,0.0077
0.1,0.1,0.4,0.6483,0.0044
0.1,0.0,0.4,0.6499,0.0042
0.1,0.6,0.3,0.6502,0.0081
0.2,0.1,0.0,0.6511,0.0064
0.2,0.0,0.1,0.6515,0.0077
0.2,0.4,0.1,0.6515,0.0021
0.1,0.4,0.3,0.6523,0.0048
0.2,0.2,0.1,0.6523,0.0016
0.1,0.5,0.3,0.6524,0.0044
0.2,0.3,0.1,0.6526,0.0039
0.1,0.3,0.3,0.6526,0.0067
0.1,0.7,0.3,0.6528,0.008
0.1,0.2,0.3,0.6532,0.0039
0.1,0.0,0.3,0.6551,0.0071
0.0,0.5,0.0,0.6555,0.0044
0.1,0.5,0.2,0.6565,0.0043
0.1,0.1,0.3,0.6569,0.0037
0.1,0.7,0.2,0.6571,0.0051
0.1,0.2,0.0,0.6578,0.0027
0.1,0.4,0.2,0.6582,0.0068
0.1,0.3,0.2,0.6624,0.0103
0.1,0.6,0.2,0.6641,0.0049
0.0,0.4,0.0,0.6647,0.0083
0.0,0.2,0.5,0.6651,0.0036
0.1,0.2,0.2,0.6651,0.0059
0.1,0.1,0.2,0.6652,0.0059
0.2,0.0,0.0,0.6661,0.0123
0.0,0.0,0.5,0.6661,0.0025
0.0,0.4,0.5,0.6667,0.0096
0.0,0.1,0.5,0.6672,0.0038
0.0,0.3,0.5,0.6685,0.0102
0.0,0.5,0.5,0.6687,0.0072
0.1,0.0,0.2,0.6701,0.0066
0.1,0.3,0.1,0.6716,0.0089
0.1,0.7,0.1,0.6718,0.0048
0.1,0.6,0.1,0.6723,0.0087
0.1,0.5,0.1,0.6737,0.0051
0.1,0.1,0.0,0.6743,0.0077
0.0,0.4,0.4,0.6747,0.0073
0.0,0.1,0.4,0.6752,0.0047
0.1,0.4,0.1,0.6756,0.0068
0.0,0.2,0.4,0.6762,0.0072
0.1,0.1,0.1,0.6763,0.0063
0.1,0.2,0.1,0.6768,0.0049
0.0,0.3,0.4,0.6776,0.006
0.0,0.0,0.4,0.6781,0.008
