SMOTE,CTGAN,TVAE,mean,std
0.0,0.0,0.0,7.7632,0.162
0.1,0.0,0.0,8.2444,0.2118
0.5,0.0,0.0,8.4083,0.4078
0.3,0.0,0.0,8.559,0.2598
0.4,0.0,0.0,8.5709,0.3025
0.2,0.0,0.0,8.6684,0.274
0.0,0.4,0.1,9.2843,0.1683
0.0,0.1,0.1,9.3091,0.0687
0.0,0.5,0.1,9.3193,0.2516
0.0,0.3,0.1,9.3205,0.1255
0.0,0.2,0.1,9.3345,0.174
0.0,0.0,0.1,9.3922,0.2453
0.1,0.3,0.1,9.7283,0.1489
0.1,0.2,0.1,9.8034,0.1525
0.1,0.5,0.1,9.8079,0.1568
0.1,0.0,0.1,9.856,0.1927
0.1,0.1,0.1,9.9023,0.1762
0.1,0.4,0.1,9.9195,0.1552
0.2,0.5,0.1,10.0081,0.1798
0.2,0.2,0.1,10.0131,0.3044
0.5,0.3,0.1,10.0337,0.302
0.4,0.4,0.1,10.0385,0.23
0.5,0.4,0.1,10.0598,0.3404
0.5,0.2,0.1,10.0663,0.384
0.0,0.1,0.2,10.0713,0.2508
0.2,0.3,0.1,10.0867,0.3354
0.5,0.5,0.1,10.0987,0.3209
0.2,0.4,0.1,10.1015,0.3095
0.3,0.4,0.1,10.108,0.255
0.4,0.5,0.1,10.1086,0.2153
0.5,0.1,0.1,10.1142,0.3154
0.0,0.4,0.2,10.1152,0.2294
0.0,0.0,0.2,10.131,0.2402
0.0,0.3,0.2,10.1311,0.3088
0.3,0.3,0.1,10.1379,0.2934
0.4,0.3,0.1,10.1439,0.2134
0.2,0.1,0.1,10.1495,0.2573
0.2,0.0,0.1,10.1513,0.3077
0.4,0.2,0.1,10.1516,0.3318
0.0,0.2,0.2,10.154,0.3174
0.0,0.5,0.2,10.1598,0.2735
0.5,0.0,0.1,10.1648,0.3312
0.4,0.0,0.1,10.1697,0.2728
0.3,0.0,0.1,10.1741,0.2096
0.3,0.2,0.1,10.1778,0.2276
0.3,0.5,0.1,10.1986,0.2164
0.3,0.1,0.1,10.2751,0.3277
0.4,0.1,0.1,10.2848,0.2835
0.1,0.3,0.2,10.6298,0.2156
0.1,0.0,0.2,10.683,0.2657
0.1,0.2,0.2,10.7102,0.23
0.1,0.5,0.2,10.7102,0.2686
0.0,0.3,0.3,10.7559,0.2502
0.0,0.5,0.3,10.7839,0.1148
0.1,0.1,0.2,10.8185,0.2553
0.1,0.4,0.2,10.8211,0.2806
0.0,0.1,0.3,10.8424,0.2364
0.0,0.4,0.3,10.8629,0.1942
0.0,0.0,0.3,10.8721,0.0664
0.2,0.5,0.2,10.9286,0.2881
0.0,0.2,0.3,10.9412,0.171
0.2,0.4,0.2,10.9413,0.3049
0.2,0.3,0.2,10.996,0.3153
0.3,0.4,0.2,11.0106,0.3318
0.3,0.5,0.2,11.017,0.2921
0.5,0.4,0.2,11.0478,0.3621
0.3,0.3,0.2,11.0607,0.3478
0.4,0.5,0.2,11.0708,0.448
0.2,0.0,0.2,11.0791,0.3218
0.2,0.2,0.2,11.1259,0.2218
0.4,0.0,0.2,11.1394,0.3117
0.4,0.4,0.2,11.1461,0.3621
0.4,0.3,0.2,11.1576,0.3068
0.5,0.3,0.2,11.1578,0.4485
0.2,0.1,0.2,11.167,0.3907
0.3,0.2,0.2,11.1763,0.2608
0.3,0.0,0.2,11.1932,0.3426
0.5,0.0,0.2,11.1993,0.5144
0.5,0.5,0.2,11.2034,0.4172
0.3,0.1,0.2,11.2047,0.3692
0.5,0.2,0.2,11.2056,0.46
0.5,0.1,0.2,11.2531,0.3864
0.4,0.1,0.2,11.2966,0.2922
0.4,0.2,0.2,11.311,0.2415
0.0,0.0,0.4,11.3763,0.3476
0.1,0.0,0.3,11.3931,0.191
0.0,0.1,0.0,11.3998,0.1352
0.1,0.3,0.3,11.4285,0.0878
0.0,0.1,0.4,11.4573,0.3027
0.0,0.2,0.4,11.4707,0.2294
0.1,0.2,0.3,11.5142,0.0814
0.1,0.5,0.3,11.5244,0.1869
0.0,0.4,0.4,11.5502,0.3911
0.1,0.1,0.3,11.5607,0.2003
0.0,0.5,0.4,11.5663,0.3566
0.0,0.3,0.4,11.5946,0.3703
0.1,0.4,0.3,11.6346,0.2442
0.2,0.3,0.3,11.7927,0.2382
0.2,0.5,0.3,11.7974,0.3414
0.2,0.1,0.3,11.8374,0.2162
0.0,0.0,0.5,11.8379,0.3003
0.2,0.0,0.3,11.8623,0.256
0.3,0.5,0.3,11.8808,0.3307
0.1,0.1,0.0,11.8916,0.1843
0.2,0.4,0.3,11.925,0.2645
0.0,0.4,0.5,11.9399,0.3933
0.0,0.5,0.5,11.9417,0.3263
0.2,0.2,0.3,11.9499,0.1761
0.3,0.3,0.3,11.9671,0.2972
0.0,0.1,0.5,11.9684,0.2834
0.0,0.3,0.5,12.0129,0.2335
0.1,0.5,0.4,12.0134,0.3111
0.4,0.5,0.3,12.015,0.2688
0.0,0.2,0.5,12.0329,0.247
0.3,0.0,0.3,12.0479,0.3663
0.3,0.4,0.3,12.089,0.3603
0.3,0.1,0.3,12.0959,0.4086
0.3,0.2,0.3,12.1026,0.2544
0.4,0.0,0.3,12.103,0.2936
0.5,0.5,0.3,12.1205,0.3781
0.5,0.3,0.3,12.136,0.2614
0.4,0.3,0.3,12.1396,0.2473
0.5,0.0,0.3,12.1527,0.3317
0.5,0.4,0.3,12.1592,0.3715
0.5,0.1,0.3,12.1637,0.3343
0.4,0.4,0.3,12.1757,0.3673
0.1,0.1,0.4,12.1818,0.2846
0.1,0.0,0.4,12.2,0.1588
0.4,0.1,0.3,12.2244,0.2284
0.5,0.2,0.3,12.2414,0.3397
0.4,0.2,0.3,12.2469,0.3201
0.1,0.3,0.4,12.2502,0.3171
0.2,0.5,0.4,12.3257,0.2844
0.1,0.2,0.4,12.3412,0.2657
0.1,0.4,0.4,12.3704,0.2487
0.2,0.1,0.0,12.5005,0.214
0.5,0.1,0.0,12.5305,0.3219
0.2,0.3,0.4,12.5575,0.3449
0.1,0.5,0.5,12.605,0.4243
0.1,0.0,0.5,12.6098,0.2514
0.3,0.1,0.0,12.6347,0.3417
0.1,0.1,0.5,12.6398,0.2624
