SMOTE,CTGAN,TVAE,mean,std
0.5,0.2,0.5,0.5939,0.0076
0.5,0.1,0.5,0.5946,0.0097
0.5,0.0,0.5,0.5966,0.0076
0.5,0.5,0.5,0.5968,0.0046
0.5,0.3,0.5,0.5968,0.0069
0.5,0.4,0.5,0.5973,0.0081
0.5,0.3,0.4,0.5993,0.0088
0.5,0.2,0.4,0.5995,0.0074
0.5,0.5,0.4,0.5997,0.0105
0.5,0.0,0.4,0.6002,0.0068
0.5,0.4,0.4,0.6002,0.0076
0.5,0.1,0.4,0.6002,0.008
0.5,0.5,0.3,0.6044,0.0089
0.5,0.2,0.3,0.6046,0.0068
0.5,0.0,0.3,0.6048,0.007
0.5,0.3,0.3,0.6056,0.0087
0.5,0.4,0.3,0.606,0.0073
0.5,0.1,0.3,0.6067,0.0071
0.5,0.3,0.2,0.6073,0.0065
0.5,0.5,0.2,0.6077,0.0086
0.5,0.2,0.2,0.609,0.0061
0.5,0.4,0.2,0.6095,0.0064
0.5,0.1,0.2,0.6104,0.0063
0.5,0.0,0.2,0.6105,0.0061
0.4,0.2,0.5,0.6123,0.0077
0.4,0.4,0.5,0.6135,0.0088
0.4,0.1,0.5,0.6147,0.0081
0.4,0.0,0.5,0.615,0.0055
0.4,0.1,0.4,0.6153,0.0082
0.4,0.5,0.4,0.6154,0.0085
0.4,0.3,0.5,0.6157,0.0063
0.4,0.5,0.5,0.6159,0.0085
0.4,0.2,0.4,0.616,0.0086
0.4,0.4,0.4,0.6162,0.0093
0.4,0.3,0.4,0.6172,0.0076
0.4,0.0,0.4,0.6176,0.0078
0.4,0.2,0.3,0.6187,0.0078
0.5,0.2,0.1,0.6191,0.0083
0.4,0.4,0.3,0.6193,0.0086
0.5,0.0,0.1,0.6199,0.0071
0.4,0.3,0.3,0.6209,0.0081
0.5,0.4,0.1,0.6209,0.0082
0.5,0.3,0.1,0.6211,0.008
0.4,0.5,0.3,0.6212,0.0075
0.5,0.1,0.1,0.6212,0.0071
0.5,0.5,0.1,0.6215,0.0063
0.4,0.1,0.3,0.6224,0.0069
0.4,0.0,0.3,0.6228,0.0062
0.4,0.1,0.2,0.625,0.0092
0.4,0.3,0.2,0.6254,0.0119
0.4,0.5,0.2,0.6256,0.0087
0.4,0.2,0.2,0.6263,0.0068
0.3,0.1,0.5,0.6264,0.0052
0.3,0.0,0.5,0.6267,0.0073
0.4,0.0,0.2,0.6267,0.0093
0.3,0.3,0.5,0.6267,0.0059
0.3,0.5,0.5,0.6269,0.008
0.3,0.4,0.4,0.6272,0.004
0.3,0.2,0.5,0.6277,0.0059
0.4,0.4,0.2,0.6279,0.0076
0.5,0.5,0.0,0.629,0.0125
0.3,0.0,0.4,0.6292,0.0062
0.3,0.3,0.4,0.6294,0.0042
0.3,0.2,0.4,0.6294,0.0086
