SMOTE,CTGAN,TVAE,mean,std
0.0,0.5,0.1,3.2746,0.2587
0.0,0.0,0.0,3.2934,0.3496
0.0,0.3,0.1,3.2994,0.3154
0.0,0.3,0.2,3.3072,0.2984
0.0,0.0,0.1,3.3101,0.303
0.0,0.4,0.4,3.3163,0.3739
0.0,0.1,0.2,3.3339,0.349
0.0,0.2,0.2,3.3343,0.3033
0.0,0.3,0.3,3.3352,0.3955
0.0,0.0,0.3,3.3356,0.3086
0.0,0.1,0.1,3.3379,0.322
0.0,0.0,0.2,3.3476,0.2721
0.0,0.1,0.5,3.3486,0.35
0.0,0.4,0.1,3.3558,0.2408
0.0,0.4,0.5,3.356,0.3729
0.0,0.4,0.3,3.3567,0.4178
0.0,0.4,0.2,3.3666,0.3535
0.0,0.2,0.1,3.3667,0.3496
0.0,0.2,0.5,3.3716,0.4268
0.0,0.2,0.3,3.3751,0.3062
0.0,0.5,0.3,3.3769,0.3497
0.0,0.5,0.2,3.3785,0.3371
0.0,0.5,0.4,3.3795,0.3245
0.0,0.2,0.4,3.3988,0.377
0.0,0.3,0.4,3.4008,0.2811
0.0,0.1,0.4,3.406,0.3649
0.0,0.5,0.5,3.4129,0.2985
0.0,0.1,0.3,3.4148,0.367
0.0,0.0,0.5,3.4505,0.38
0.0,0.0,0.4,3.4585,0.363
0.0,0.3,0.5,3.4674,0.3981
0.0,0.1,0.0,4.1575,0.4516
0.0,0.2,0.0,4.4478,0.5962
0.0,0.3,0.0,4.8713,0.5445
0.0,0.4,0.0,5.0494,0.8138
0.0,0.5,0.0,5.1393,0.8427
0.1,0.0,0.0,8.7471,3.4809
0.1,0.0,0.5,15.0436,9.5799
0.1,0.2,0.1,15.0883,9.5109
0.1,0.5,0.5,15.1318,9.5843
0.1,0.2,0.4,15.1352,9.5663
0.1,0.0,0.4,15.1426,9.8454
0.1,0.4,0.5,15.1511,9.6672
0.1,0.4,0.2,15.2054,9.644
0.1,0.3,0.5,15.2291,9.6682
0.1,0.4,0.1,15.2363,9.3857
0.1,0.3,0.4,15.2436,9.7274
0.1,0.4,0.4,15.248,9.8695
0.1,0.0,0.1,15.2831,9.8919
0.1,0.2,0.5,15.2995,9.6865
0.1,0.1,0.0,15.33,9.9115
0.1,0.5,0.2,15.3651,10.156
0.1,0.1,0.1,15.3701,9.767
0.1,0.5,0.1,15.4027,10.0288
0.1,0.2,0.3,15.4205,9.9776
0.1,0.0,0.3,15.4325,9.9606
0.1,0.1,0.4,15.4329,9.8575
0.1,0.3,0.1,15.4373,10.0425
0.1,0.3,0.2,15.4664,10.1094
0.1,0.5,0.4,15.4715,9.7987
0.1,0.1,0.5,15.4719,9.9277
0.1,0.2,0.2,15.477,10.0397
0.1,0.3,0.3,15.4896,9.7504
0.1,0.1,0.2,15.5292,9.6865
0.1,0.4,0.3,15.5359,9.8782
0.1,0.0,0.2,15.598,9.8285
0.1,0.5,0.3,15.6156,9.9197
0.1,0.1,0.3,15.6589,9.7311
0.1,0.2,0.0,16.1525,9.7906
0.1,0.5,0.0,16.1916,8.5041
0.1,0.4,0.0,16.2425,9.2823
0.1,0.3,0.0,16.554,9.9006
0.2,0.0,0.0,29.8002,12.223
0.2,0.3,0.5,34.2974,15.3186
0.2,0.2,0.0,34.3801,14.0513
0.2,0.1,0.4,34.5291,14.6554
0.2,0.0,0.3,34.5419,14.5132
0.2,0.1,0.1,34.5581,15.021
0.2,0.3,0.2,34.5897,15.14
0.2,0.5,0.5,34.7036,15.1541
0.2,0.4,0.3,34.7319,14.7448
0.2,0.4,0.5,34.78,15.1294
0.2,0.4,0.1,34.7901,15.2822
0.2,0.1,0.5,34.8651,15.3498
0.2,0.0,0.2,34.913,14.9974
0.2,0.2,0.2,34.9133,15.207
0.2,0.0,0.1,34.9202,15.5603
0.2,0.1,0.3,34.9592,15.0776
0.2,0.3,0.1,34.994,15.0342
0.2,0.5,0.4,34.9971,14.9222
0.2,0.2,0.1,35.0262,14.3288
0.2,0.5,0.3,35.035,15.428
0.2,0.5,0.1,35.0588,15.4332
0.2,0.2,0.4,35.0824,15.2747
0.2,0.4,0.0,35.1325,14.7929
0.2,0.2,0.5,35.1619,15.3014
0.2,0.4,0.4,35.1676,15.7746
0.2,0.1,0.0,35.1711,16.4457
0.2,0.3,0.4,35.1778,15.1772
0.2,0.2,0.3,35.2694,14.6598
0.2,0.3,0.0,35.2991,15.166
0.2,0.4,0.2,35.3139,15.5657
0.2,0.3,0.3,35.3151,15.5357
0.2,0.1,0.2,35.3789,15.5452
0.2,0.0,0.5,35.4638,15.3215
0.2,0.0,0.4,35.5178,15.3013
0.2,0.5,0.2,35.7043,15.7842
0.2,0.5,0.0,35.7741,14.7355
0.3,0.1,0.0,37.4678,10.3766
0.3,0.4,0.0,40.0009,11.0697
0.3,0.1,0.4,40.0526,14.6254
0.3,0.2,0.0,40.2983,11.8105
0.3,0.1,0.2,40.5028,15.5991
0.3,0.5,0.3,40.5287,14.9184
0.3,0.5,0.0,40.5348,11.1681
0.3,0.1,0.3,40.6276,14.2966
0.3,0.3,0.1,40.7757,15.24
0.3,0.0,0.3,40.8269,15.6433
0.3,0.2,0.5,40.8889,15.3517
0.3,0.1,0.5,40.894,16.5553
0.3,0.4,0.1,40.9124,15.1805
0.3,0.3,0.0,40.9404,10.5672
0.3,0.5,0.4,41.0698,15.4716
0.3,0.2,0.3,41.0911,14.9923
0.3,0.0,0.1,41.234,15.1619
0.3,0.0,0.5,41.283,15.8746
0.3,0.3,0.3,41.3608,14.9903
0.3,0.0,0.4,41.3759,15.5387
0.3,0.2,0.2,41.4169,15.5693
0.3,0.0,0.2,41.4395,15.6854
0.3,0.4,0.4,41.4977,14.9358
0.3,0.4,0.2,41.5577,16.4368
0.3,0.5,0.2,41.5797,16.7957
0.3,0.2,0.1,41.6269,16.1089
0.3,0.3,0.2,41.6464,16.4349
0.3,0.4,0.3,41.6874,15.4436
0.3,0.3,0.4,41.6966,15.2179
0.3,0.2,0.4,41.7604,15.1753
0.3,0.5,0.5,41.7718,15.7788
0.3,0.5,0.1,41.8717,15.6172
0.3,0.1,0.1,41.9266,15.9479
0.3,0.4,0.5,42.2428,16.8013
0.3,0.3,0.5,42.4279,16.6496
0.4,0.2,0.3,46.8394,6.1151
0.4,0.5,0.4,47.033,5.9302
0.4,0.2,0.4,47.0477,5.3021
0.4,0.4,0.1,47.1516,6.8107
0.4,0.3,0.1,47.1759,7.103
0.4,0.0,0.1,47.3256,6.6597
0.4,0.1,0.2,47.3675,6.0847
0.4,0.0,0.2,47.3706,6.0664
0.4,0.2,0.2,47.3874,5.8769
0.4,0.4,0.4,47.4551,5.7042
0.3,0.0,0.0,47.4778,14.8121
0.4,0.1,0.4,47.4819,6.4583
0.4,0.3,0.5,47.5249,5.1171
0.4,0.5,0.1,47.5935,6.6365
0.4,0.2,0.5,47.6006,5.7624
0.4,0.5,0.2,47.7386,6.0782
0.4,0.0,0.4,47.7396,5.8493
0.4,0.1,0.5,47.7448,5.3848
0.4,0.3,0.2,47.7448,6.3965
0.4,0.5,0.5,47.7783,5.4702
0.4,0.3,0.4,47.8746,5.4695
0.4,0.0,0.3,47.9125,6.2092
0.4,0.3,0.3,47.9584,4.7748
0.4,0.4,0.3,48.0037,5.3456
0.4,0.5,0.3,48.0296,6.0589
0.4,0.0,0.5,48.0314,5.5814
0.4,0.4,0.5,48.0317,5.5468
0.4,0.2,0.1,48.1177,6.6278
0.4,0.1,0.3,48.1242,5.033
0.4,0.4,0.2,48.1276,5.4819
0.4,0.1,0.1,48.4125,5.8367
0.4,0.1,0.0,48.5645,7.5052
0.4,0.2,0.0,48.6982,11.5132
0.4,0.0,0.0,49.7302,6.5658
0.4,0.3,0.0,49.8266,9.9325
0.4,0.4,0.0,49.9684,10.1014
0.4,0.5,0.0,50.6187,11.727
0.5,0.0,0.0,52.7771,7.385
0.5,0.2,0.1,58.8829,8.2904
0.5,0.4,0.1,58.9252,7.9048
0.5,0.0,0.1,58.9952,7.3586
0.5,0.5,0.4,59.09,8.8423
