SMOTE,CTGAN,TVAE,mean,std
0.5,0.1,0.5,0.7034,0.0006
0.5,0.0,0.5,0.7042,0.0008
0.5,0.3,0.5,0.7043,0.0007
0.5,0.5,0.5,0.7044,0.0008
0.5,0.2,0.5,0.7046,0.0011
0.5,0.4,0.5,0.7047,0.0007
0.5,0.1,0.4,0.7068,0.0012
0.5,0.3,0.4,0.707,0.0012
0.5,0.0,0.4,0.7074,0.0005
0.5,0.5,0.4,0.7076,0.0006
0.5,0.2,0.4,0.7076,0.0011
0.5,0.4,0.4,0.7079,0.0011
0.5,0.0,0.3,0.71,0.0011
0.5,0.1,0.3,0.7101,0.0008
0.5,0.4,0.3,0.7103,0.0011
0.5,0.5,0.3,0.7104,0.0006
0.5,0.3,0.3,0.7106,0.0015
0.5,0.2,0.3,0.7112,0.0007
0.5,0.5,0.0,0.7114,0.0009
0.5,0.1,0.2,0.7132,0.0014
0.5,0.4,0.0,0.7133,0.0015
0.5,0.0,0.2,0.7134,0.0006
0.5,0.3,0.0,0.7137,0.0015
0.5,0.4,0.2,0.7138,0.0007
0.5,0.5,0.2,0.714,0.0011
0.5,0.2,0.2,0.7141,0.0012
0.5,0.3,0.2,0.7143,0.0015
0.5,0.2,0.0,0.7154,0.0025
0.5,0.5,0.1,0.7168,0.0011
0.5,0.2,0.1,0.7173,0.0006
0.5,0.0,0.1,0.7177,0.001
0.5,0.4,0.1,0.7177,0.001
0.5,0.3,0.1,0.7178,0.0009
0.5,0.1,0.1,0.7179,0.0009
0.5,0.1,0.0,0.7183,0.0013
0.5,0.0,0.0,0.7234,0.0024
0.4,0.1,0.5,0.7289,0.0025
0.4,0.0,0.5,0.7289,0.0018
0.4,0.3,0.5,0.729,0.0018
0.4,0.4,0.5,0.7291,0.0012
0.4,0.2,0.5,0.7293,0.0018
0.4,0.5,0.5,0.7299,0.0025
0.4,0.0,0.4,0.7316,0.0031
0.4,0.1,0.4,0.7317,0.0015
0.4,0.5,0.4,0.7317,0.0018
0.4,0.3,0.4,0.732,0.0021
0.4,0.2,0.4,0.7325,0.0022
0.4,0.4,0.4,0.7327,0.002
0.4,0.0,0.3,0.7345,0.002
0.4,0.4,0.3,0.7348,0.0013
0.4,0.5,0.3,0.7351,0.0019
0.4,0.3,0.3,0.7352,0.0011
0.4,0.5,0.0,0.7354,0.0017
0.4,0.1,0.3,0.7355,0.0018
0.4,0.2,0.3,0.7359,0.0016
0.4,0.4,0.0,0.7376,0.0014
0.4,0.5,0.2,0.7383,0.0015
0.4,0.1,0.2,0.7383,0.0015
0.4,0.2,0.2,0.7387,0.002
0.4,0.0,0.2,0.7388,0.0023
0.4,0.3,0.0,0.7389,0.0014
0.4,0.3,0.2,0.7389,0.0013
0.4,0.4,0.2,0.739,0.0016
0.4,0.2,0.0,0.7395,0.0016
0.4,0.1,0.0,0.7423,0.002
0.4,0.5,0.1,0.7425,0.0018
0.4,0.0,0.1,0.7427,0.0022
0.4,0.1,0.1,0.7427,0.0022
0.4,0.4,0.1,0.7428,0.0022
0.4,0.2,0.1,0.743,0.0018
0.4,0.3,0.1,0.7432,0.0019
0.4,0.0,0.0,0.749,0.0028
0.3,0.1,0.5,0.7521,0.0015
0.3,0.3,0.5,0.7526,0.0006
0.3,0.0,0.5,0.7528,0.0018
0.3,0.4,0.5,0.753,0.0017
0.3,0.2,0.5,0.7533,0.0019
0.3,0.5,0.5,0.7534,0.0015
0.3,0.3,0.4,0.7557,0.0008
0.3,0.0,0.4,0.756,0.0015
0.3,0.2,0.4,0.7561,0.0021
0.3,0.4,0.4,0.7562,0.0015
0.3,0.1,0.4,0.7564,0.0014
0.3,0.5,0.4,0.757,0.002
0.3,0.1,0.3,0.7586,0.0024
0.3,0.5,0.0,0.7591,0.0022
0.3,0.3,0.3,0.7591,0.0007
0.3,0.4,0.3,0.7594,0.0009
0.3,0.5,0.3,0.7595,0.0012
0.3,0.0,0.3,0.7595,0.0016
0.3,0.2,0.3,0.7601,0.0022
0.3,0.4,0.0,0.7609,0.0021
0.3,0.1,0.2,0.7619,0.0018
0.3,0.4,0.2,0.7624,0.0033
0.3,0.3,0.0,0.7624,0.0014
0.3,0.5,0.2,0.7628,0.0021
0.3,0.0,0.2,0.7631,0.0021
0.3,0.3,0.2,0.7631,0.0022
0.3,0.2,0.2,0.7632,0.0018
0.3,0.2,0.0,0.7643,0.002
0.3,0.5,0.1,0.7664,0.002
0.3,0.3,0.1,0.7666,0.0016
0.3,0.1,0.0,0.7671,0.002
0.3,0.2,0.1,0.7671,0.0018
0.3,0.0,0.1,0.7672,0.0011
0.3,0.1,0.1,0.7673,0.0017
0.3,0.4,0.1,0.7676,0.0016
0.3,0.0,0.0,0.7749,0.0043
0.2,0.0,0.5,0.7776,0.0011
0.2,0.1,0.5,0.778,0.0023
0.2,0.4,0.5,0.7783,0.0014
0.2,0.2,0.5,0.7785,0.0011
0.2,0.5,0.5,0.7788,0.0008
0.2,0.3,0.5,0.7789,0.0013
0.2,0.5,0.4,0.781,0.0016
0.2,0.4,0.4,0.781,0.0017
0.2,0.3,0.4,0.7818,0.0007
0.2,0.2,0.4,0.782,0.002
0.2,0.1,0.4,0.7821,0.0015
0.2,0.0,0.4,0.7822,0.0012
0.2,0.5,0.0,0.7825,0.0014
0.2,0.4,0.0,0.7831,0.0017
0.2,0.1,0.3,0.7846,0.0014
0.2,0.0,0.3,0.7848,0.0005
0.2,0.4,0.3,0.7849,0.0019
0.2,0.3,0.3,0.7849,0.0021
0.2,0.2,0.3,0.7852,0.0012
0.2,0.5,0.3,0.7858,0.0009
0.2,0.3,0.0,0.7868,0.0015
0.2,0.2,0.2,0.7882,0.0011
0.2,0.2,0.0,0.7883,0.0015
0.2,0.1,0.2,0.7883,0.0016
0.2,0.4,0.2,0.7884,0.0005
0.2,0.3,0.2,0.7885,0.0015
0.2,0.5,0.2,0.789,0.0012
0.2,0.0,0.2,0.7896,0.0015
0.2,0.2,0.1,0.7921,0.0022
0.2,0.1,0.1,0.7925,0.0014
0.2,0.1,0.0,0.7926,0.0007
0.2,0.4,0.1,0.793,0.0014
0.2,0.5,0.1,0.793,0.0012
0.2,0.3,0.1,0.7931,0.0014
0.2,0.0,0.1,0.7944,0.0014
0.1,0.0,0.5,0.8026,0.0023
0.2,0.0,0.0,0.8027,0.0051
0.1,0.4,0.5,0.8035,0.0014
0.1,0.1,0.5,0.8038,0.0025
0.1,0.2,0.5,0.8039,0.0023
0.1,0.5,0.5,0.8045,0.0013
0.1,0.3,0.5,0.8047,0.0016
0.1,0.5,0.0,0.8059,0.0009
0.1,0.4,0.4,0.8062,0.0016
0.1,0.5,0.4,0.8069,0.0013
0.1,0.2,0.4,0.8069,0.0014
0.1,0.0,0.4,0.8071,0.0013
0.1,0.1,0.4,0.8073,0.0009
0.1,0.3,0.4,0.8078,0.0009
0.1,0.4,0.0,0.8089,0.0023
0.1,0.2,0.3,0.8096,0.0029
0.1,0.3,0.3,0.8102,0.0023
0.1,0.1,0.3,0.8105,0.0017
0.1,0.5,0.3,0.8105,0.0015
0.1,0.0,0.3,0.8108,0.0017
0.1,0.3,0.0,0.8108,0.0009
0.1,0.4,0.3,0.8109,0.0004
0.1,0.2,0.0,0.8139,0.0009
0.1,0.5,0.2,0.8144,0.0018
0.1,0.3,0.2,0.8147,0.0018
0.1,0.0,0.2,0.8148,0.0015
0.1,0.1,0.2,0.8148,0.0018
0.1,0.4,0.2,0.8149,0.0014
0.1,0.2,0.2,0.8155,0.0015
0.1,0.1,0.0,0.8175,0.001
0.1,0.0,0.1,0.8181,0.001
0.1,0.3,0.1,0.8187,0.0018
0.1,0.5,0.1,0.8188,0.0015
0.1,0.2,0.1,0.819,0.0009
0.1,0.4,0.1,0.82,0.0015
0.1,0.1,0.1,0.82,0.002
0.0,0.2,0.5,0.8248,0.0023
0.0,0.5,0.5,0.825,0.0069
0.0,0.1,0.5,0.8262,0.0064
0.0,0.4,0.5,0.8267,0.0024
0.0,0.0,0.5,0.828,0.0021
0.0,0.3,0.5,0.8287,0.0033
0.0,0.5,0.0,0.8288,0.0017
0.0,0.0,0.4,0.8295,0.0046
