SMOTE,CTGAN,TVAE,mean,std
0.5,0.2,0.5,0.5245,0.0081
0.5,0.1,0.5,0.5254,0.0103
0.5,0.0,0.5,0.5269,0.0042
0.5,0.2,0.4,0.5273,0.0037
0.5,0.3,0.4,0.5279,0.0058
0.5,0.3,0.5,0.5283,0.007
0.5,0.5,0.5,0.5296,0.0076
0.5,0.0,0.4,0.5299,0.0071
0.5,0.4,0.5,0.5306,0.0058
0.5,0.1,0.4,0.5307,0.0058
0.5,0.3,0.3,0.5322,0.0024
0.4,0.1,0.5,0.5344,0.0094
0.5,0.5,0.4,0.5347,0.0105
0.5,0.4,0.4,0.5347,0.0071
0.5,0.4,0.3,0.5357,0.0058
0.5,0.5,0.0,0.536,0.0032
0.4,0.3,0.5,0.5363,0.0026
0.5,0.1,0.3,0.5376,0.0081
0.5,0.4,0.0,0.5377,0.0072
0.5,0.5,0.3,0.538,0.0028
0.4,0.2,0.5,0.5385,0.0039
0.5,0.2,0.3,0.5396,0.0049
0.5,0.3,0.0,0.5402,0.0031
0.5,0.0,0.3,0.5406,0.0065
0.4,0.5,0.5,0.541,0.0069
0.5,0.1,0.2,0.5421,0.0029
0.4,0.4,0.5,0.5423,0.005
0.4,0.0,0.5,0.5424,0.0041
0.4,0.3,0.3,0.5433,0.0058
0.4,0.3,0.4,0.5437,0.0053
0.4,0.5,0.4,0.545,0.01
0.4,0.1,0.4,0.5457,0.0075
0.4,0.4,0.4,0.5457,0.0051
0.5,0.3,0.2,0.546,0.0021
0.4,0.0,0.4,0.546,0.0043
0.4,0.2,0.4,0.5463,0.0069
0.3,0.3,0.5,0.5467,0.007
0.5,0.4,0.2,0.5469,0.0075
0.5,0.2,0.0,0.5471,0.0086
0.5,0.2,0.2,0.5481,0.0069
0.5,0.5,0.2,0.5489,0.0071
0.3,0.2,0.5,0.5489,0.0057
0.5,0.0,0.1,0.5489,0.0105
0.5,0.2,0.1,0.5492,0.0059
0.5,0.0,0.2,0.5493,0.005
0.3,0.0,0.5,0.5499,0.0097
0.4,0.5,0.0,0.5501,0.0037
0.5,0.1,0.1,0.5511,0.0074
0.4,0.0,0.3,0.552,0.0066
0.4,0.2,0.3,0.5521,0.0047
0.5,0.4,0.1,0.5521,0.0057
0.5,0.3,0.1,0.5525,0.008
0.4,0.3,0.0,0.5528,0.0045
0.5,0.5,0.1,0.5531,0.0051
0.3,0.1,0.5,0.5532,0.003
0.4,0.5,0.3,0.5532,0.0023
0.4,0.4,0.0,0.5533,0.0044
0.4,0.4,0.3,0.5535,0.0066
0.4,0.1,0.3,0.5543,0.0042
0.3,0.2,0.4,0.5544,0.008
0.3,0.4,0.5,0.5557,0.0066
0.5,0.1,0.0,0.556,0.0073
0.3,0.5,0.5,0.5563,0.0053
0.4,0.3,0.2,0.5565,0.005
0.4,0.5,0.2,0.5584,0.0049
0.4,0.0,0.2,0.5585,0.0038
0.3,0.4,0.4,0.5595,0.0046
0.4,0.2,0.0,0.5596,0.0074
0.4,0.1,0.2,0.5598,0.0055
0.4,0.4,0.2,0.5602,0.007
0.4,0.4,0.1,0.5604,0.0015
0.3,0.3,0.4,0.5611,0.006
0.2,0.5,0.5,0.5615,0.0059
0.3,0.5,0.0,0.5618,0.0008
0.3,0.5,0.4,0.5624,0.0037
0.4,0.2,0.2,0.5629,0.0017
0.2,0.2,0.5,0.5629,0.0063
0.3,0.0,0.4,0.563,0.0104
0.5,0.0,0.0,0.5632,0.0025
0.4,0.0,0.1,0.5634,0.0049
