SMOTE,CTGAN,TVAE,mean,std
0.0,0.0,0.0,13.2374,0.2658
0.1,0.0,0.0,13.7387,0.3248
0.2,0.0,0.0,14.0737,0.4247
0.3,0.0,0.0,14.2285,0.4499
0.5,0.0,0.0,14.2927,0.443
0.0,0.0,0.1,14.5759,0.2292
0.4,0.0,0.0,14.6334,0.3884
0.0,0.5,0.1,14.6543,0.4546
0.0,0.4,0.1,14.6559,0.2519
0.0,0.2,0.1,14.6645,0.4281
0.0,0.1,0.1,14.671,0.3241
0.0,0.3,0.1,14.7702,0.3528
0.1,0.3,0.1,15.042,0.5399
0.1,0.5,0.1,15.1393,0.3627
0.1,0.2,0.1,15.1846,0.3753
0.1,0.4,0.1,15.2136,0.3302
0.1,0.0,0.1,15.2513,0.3544
0.1,0.1,0.1,15.4212,0.367
0.2,0.3,0.1,15.5839,0.3355
0.2,0.0,0.1,15.6227,0.3392
0.2,0.5,0.1,15.6247,0.3994
0.2,0.2,0.1,15.6498,0.2976
0.2,0.4,0.1,15.6753,0.4278
0.2,0.1,0.1,15.7195,0.4056
0.5,0.3,0.1,15.7409,0.5936
0.5,0.2,0.1,15.7411,0.3883
0.0,0.5,0.2,15.764,0.1904
0.5,0.5,0.1,15.7664,0.5445
0.5,0.0,0.1,15.7752,0.4861
0.0,0.0,0.2,15.7843,0.2989
0.5,0.4,0.1,15.8172,0.488
0.0,0.1,0.2,15.8761,0.344
0.0,0.3,0.2,15.8773,0.4023
0.4,0.5,0.1,15.881,0.3925
0.0,0.4,0.2,15.9026,0.2441
0.0,0.2,0.2,15.9124,0.1759
0.4,0.2,0.1,15.9169,0.2548
0.5,0.1,0.1,15.9419,0.4892
0.4,0.4,0.1,15.9461,0.2976
0.4,0.3,0.1,15.9662,0.3043
0.4,0.0,0.1,16.0461,0.4004
0.3,0.3,0.1,16.1904,0.2279
0.4,0.1,0.1,16.2228,0.4711
0.3,0.5,0.1,16.2622,0.2374
0.3,0.4,0.1,16.2692,0.3236
0.3,0.2,0.1,16.3188,0.2425
0.3,0.0,0.1,16.3489,0.3111
0.1,0.3,0.2,16.499,0.3089
0.1,0.5,0.2,16.5059,0.382
0.3,0.1,0.1,16.5082,0.2898
0.1,0.4,0.2,16.5447,0.279
0.1,0.2,0.2,16.5637,0.3517
0.1,0.1,0.2,16.6643,0.37
0.1,0.0,0.2,16.7094,0.3485
0.2,0.4,0.2,16.9373,0.3062
0.0,0.3,0.3,16.9497,0.3708
0.0,0.1,0.3,16.9693,0.4985
0.2,0.3,0.2,16.9861,0.3831
0.0,0.5,0.3,16.9926,0.4274
0.0,0.4,0.3,17.0924,0.2293
0.2,0.5,0.2,17.0995,0.5058
0.0,0.2,0.3,17.1148,0.316
0.2,0.0,0.2,17.1755,0.2747
0.2,0.2,0.2,17.1797,0.2298
0.0,0.0,0.3,17.1995,0.2193
0.2,0.1,0.2,17.2587,0.4043
0.4,0.2,0.2,17.4198,0.328
0.5,0.5,0.2,17.425,0.4247
0.4,0.5,0.2,17.4298,0.3223
0.4,0.3,0.2,17.4413,0.3945
0.5,0.2,0.2,17.4523,0.5182
0.5,0.4,0.2,17.4921,0.4987
0.5,0.3,0.2,17.5108,0.5158
0.5,0.0,0.2,17.5368,0.4692
0.4,0.4,0.2,17.6158,0.3456
0.5,0.1,0.2,17.663,0.4998
0.1,0.3,0.3,17.6761,0.2439
0.0,0.1,0.4,17.7054,0.4834
0.4,0.0,0.2,17.7417,0.4857
0.4,0.1,0.2,17.7543,0.4029
0.1,0.5,0.3,17.7543,0.5977
0.1,0.0,0.3,17.7557,0.4307
0.3,0.4,0.2,17.7574,0.2025
0.3,0.5,0.2,17.7646,0.305
0.1,0.1,0.3,17.7844,0.3925
0.1,0.4,0.3,17.839,0.3387
0.0,0.2,0.4,17.8528,0.3127
0.0,0.4,0.4,17.8672,0.4765
0.0,0.5,0.4,17.8695,0.4047
0.3,0.0,0.2,17.8939,0.3169
0.3,0.1,0.2,17.9258,0.3269
0.3,0.3,0.2,17.9447,0.3332
0.3,0.2,0.2,17.9456,0.3377
0.1,0.2,0.3,17.9637,0.3168
0.0,0.0,0.4,17.9856,0.4177
0.2,0.0,0.3,18.142,0.473
0.0,0.3,0.4,18.1915,0.5043
0.2,0.4,0.3,18.1933,0.3206
