SMOTE,CTGAN,TVAE,mean,std
0.5,0.5,0.0,0.7125,0.0243
0.5,0.2,0.0,0.7208,0.0363
0.5,0.5,0.4,0.725,0.0243
0.5,0.1,0.4,0.725,0.0243
0.5,0.4,0.4,0.725,0.0243
0.5,0.2,0.4,0.725,0.0243
0.5,0.3,0.0,0.725,0.0333
0.5,0.4,0.0,0.725,0.0358
0.5,0.3,0.4,0.725,0.0243
0.5,0.0,0.4,0.7292,0.0295
0.5,0.1,0.5,0.7333,0.0156
0.5,0.2,0.5,0.7333,0.0156
0.5,0.5,0.5,0.7333,0.0156
0.5,0.3,0.5,0.7333,0.0156
0.5,0.4,0.5,0.7333,0.0156
0.5,0.3,0.3,0.7375,0.0283
0.5,0.5,0.3,0.7375,0.0283
0.5,0.0,0.5,0.7375,0.0212
0.5,0.1,0.1,0.7375,0.0212
0.5,0.1,0.3,0.7375,0.0283
0.5,0.5,0.1,0.7375,0.0212
0.5,0.1,0.0,0.7375,0.0429
0.5,0.2,0.3,0.7375,0.0283
0.5,0.4,0.3,0.7375,0.0283
0.5,0.4,0.1,0.7375,0.0212
0.5,0.3,0.1,0.7375,0.0212
0.5,0.2,0.1,0.7375,0.0212
0.5,0.2,0.2,0.7417,0.025
0.5,0.5,0.2,0.7417,0.025
0.5,0.1,0.2,0.7417,0.025
0.5,0.4,0.2,0.7417,0.025
0.5,0.3,0.2,0.7417,0.025
0.5,0.0,0.3,0.7417,0.0283
0.5,0.0,0.1,0.7458,0.0243
0.5,0.0,0.2,0.7458,0.0333
0.5,0.0,0.0,0.7583,0.0212
0.4,0.5,0.0,0.7625,0.0339
0.4,0.0,0.4,0.7708,0.0264
0.4,0.4,0.0,0.7708,0.0264
0.4,0.0,0.5,0.775,0.0306
0.4,0.3,0.5,0.775,0.0306
0.4,0.1,0.5,0.775,0.0306
0.4,0.2,0.4,0.775,0.0156
0.4,0.3,0.0,0.775,0.0306
0.4,0.3,0.4,0.775,0.0156
0.4,0.1,0.4,0.775,0.0156
0.4,0.2,0.5,0.775,0.0306
0.4,0.4,0.4,0.775,0.0156
0.4,0.5,0.5,0.775,0.0306
0.4,0.5,0.4,0.775,0.0156
0.4,0.4,0.5,0.775,0.0306
0.4,0.4,0.1,0.7792,0.0283
0.4,0.1,0.0,0.7792,0.0363
0.4,0.1,0.1,0.7792,0.0283
0.4,0.1,0.2,0.7792,0.025
0.4,0.5,0.2,0.7792,0.025
0.4,0.2,0.1,0.7792,0.0283
0.4,0.4,0.2,0.7792,0.025
0.4,0.5,0.1,0.7792,0.0283
0.4,0.2,0.2,0.7792,0.025
0.4,0.3,0.1,0.7792,0.0283
0.4,0.3,0.2,0.7792,0.025
0.4,0.2,0.0,0.7833,0.0386
0.4,0.0,0.1,0.7833,0.0429
0.4,0.2,0.3,0.7875,0.0306
0.4,0.5,0.3,0.7875,0.0306
0.4,0.1,0.3,0.7875,0.0306
