SMOTE,CTGAN,TVAE,mean,std
0.5,0.2,0.5,0.7746,0.0077
0.5,0.3,0.5,0.7746,0.0074
0.5,0.5,0.5,0.7752,0.0071
0.5,0.0,0.5,0.7753,0.0064
0.5,0.1,0.5,0.7755,0.0062
0.5,0.4,0.5,0.776,0.0064
0.5,0.1,0.4,0.7768,0.0063
0.5,0.0,0.4,0.7773,0.0068
0.5,0.3,0.4,0.7776,0.0071
0.5,0.5,0.4,0.7778,0.0063
0.5,0.4,0.4,0.7783,0.0068
0.5,0.2,0.4,0.7783,0.0068
0.5,0.3,0.3,0.7788,0.0067
0.5,0.2,0.3,0.7791,0.0064
0.5,0.0,0.3,0.7792,0.0063
0.5,0.5,0.3,0.7794,0.0063
0.5,0.1,0.3,0.7797,0.0074
0.5,0.4,0.3,0.7797,0.0068
0.5,0.3,0.2,0.7813,0.0063
0.5,0.1,0.2,0.782,0.0067
0.5,0.0,0.2,0.782,0.0063
0.5,0.2,0.2,0.7821,0.0072
0.5,0.5,0.2,0.7821,0.0071
0.5,0.4,0.2,0.7822,0.0068
0.5,0.5,0.0,0.7831,0.0069
0.5,0.1,0.1,0.7845,0.0057
0.5,0.2,0.1,0.7847,0.0055
0.5,0.2,0.0,0.7847,0.0061
0.5,0.0,0.1,0.7848,0.0057
0.5,0.3,0.1,0.7849,0.0054
0.5,0.3,0.0,0.7851,0.0067
0.5,0.5,0.1,0.7851,0.0055
0.5,0.4,0.0,0.7852,0.0073
0.5,0.4,0.1,0.7854,0.0053
0.5,0.1,0.0,0.7868,0.0048
0.5,0.0,0.0,0.7985,0.0077
0.4,0.5,0.5,0.7992,0.0072
0.4,0.4,0.5,0.7996,0.0068
0.4,0.0,0.5,0.7997,0.0055
0.4,0.2,0.5,0.7997,0.0056
0.4,0.3,0.5,0.7998,0.0052
0.4,0.1,0.5,0.8006,0.0049
0.4,0.3,0.4,0.8009,0.0062
0.4,0.2,0.4,0.8012,0.0069
0.4,0.5,0.4,0.8013,0.0063
0.4,0.1,0.4,0.8013,0.0061
0.4,0.4,0.4,0.8022,0.0061
0.4,0.0,0.4,0.8023,0.0062
0.4,0.2,0.3,0.8036,0.0049
0.4,0.5,0.3,0.8037,0.0053
0.4,0.0,0.3,0.804,0.0054
0.4,0.1,0.3,0.8041,0.0054
0.4,0.4,0.3,0.8046,0.0061
0.4,0.3,0.3,0.8048,0.0066
0.4,0.4,0.2,0.8056,0.0055
0.4,0.2,0.2,0.8061,0.0064
0.4,0.5,0.2,0.8062,0.0065
0.4,0.3,0.2,0.8063,0.0061
0.4,0.0,0.2,0.8067,0.0064
0.4,0.1,0.2,0.807,0.0063
0.4,0.2,0.1,0.8083,0.0058
0.4,0.5,0.0,0.8084,0.0048
0.4,0.3,0.1,0.8085,0.0053
0.4,0.4,0.1,0.8091,0.0051
0.4,0.3,0.0,0.8092,0.0052
0.4,0.4,0.0,0.8093,0.004
0.4,0.0,0.1,0.8094,0.0066
0.4,0.5,0.1,0.8097,0.0055
0.4,0.1,0.1,0.8097,0.0045
0.4,0.2,0.0,0.8103,0.0034
0.4,0.1,0.0,0.8104,0.0038
0.4,0.0,0.0,0.8216,0.0096
0.3,0.4,0.5,0.8237,0.0046
0.3,0.3,0.5,0.8242,0.0048
0.3,0.2,0.4,0.8249,0.0052
0.3,0.0,0.5,0.8249,0.0032
0.3,0.2,0.5,0.825,0.0043
0.3,0.1,0.5,0.8251,0.0038
0.3,0.5,0.5,0.8252,0.0048
0.3,0.1,0.4,0.8255,0.0053
0.3,0.4,0.4,0.8257,0.0032
0.3,0.5,0.4,0.826,0.0039
0.3,0.0,0.4,0.8263,0.0037
0.3,0.3,0.4,0.8269,0.0046
0.3,0.0,0.3,0.8277,0.0059
0.3,0.4,0.3,0.8279,0.004
0.3,0.3,0.3,0.828,0.0042
0.3,0.2,0.3,0.828,0.0048
0.3,0.1,0.3,0.828,0.0042
0.3,0.5,0.3,0.8283,0.0038
0.3,0.4,0.2,0.8301,0.0044
0.3,0.3,0.2,0.8302,0.0039
0.3,0.0,0.2,0.8302,0.0037
0.3,0.5,0.2,0.8303,0.004
0.3,0.4,0.0,0.8311,0.005
0.3,0.2,0.2,0.8311,0.0038
0.3,0.1,0.2,0.8313,0.0044
0.3,0.5,0.0,0.8316,0.0054
0.3,0.4,0.1,0.833,0.0047
0.3,0.3,0.0,0.8332,0.0053
0.3,0.5,0.1,0.8332,0.0043
0.3,0.1,0.1,0.8334,0.0043
0.3,0.0,0.1,0.8334,0.0045
0.3,0.3,0.1,0.8337,0.0038
0.3,0.2,0.1,0.8339,0.004
0.3,0.2,0.0,0.834,0.0049
0.3,0.1,0.0,0.8342,0.0043
0.3,0.0,0.0,0.8437,0.0095
0.2,0.4,0.5,0.8461,0.0068
0.2,0.5,0.5,0.8462,0.0056
0.2,0.0,0.5,0.8466,0.0062
0.2,0.2,0.4,0.8467,0.0048
0.2,0.1,0.5,0.8471,0.006
0.2,0.3,0.5,0.8471,0.0062
0.2,0.2,0.5,0.8482,0.0059
0.2,0.3,0.4,0.8483,0.0059
0.2,0.1,0.4,0.8484,0.006
