SMOTE,CTGAN,TVAE,mean,std
0.0,0.5,0.2,8.4284,2.0321
0.0,0.3,0.1,8.4949,2.9006
0.0,0.0,0.2,8.885,0.6824
0.0,0.2,0.1,8.9561,2.5283
0.0,0.3,0.4,9.2039,1.9543
0.0,0.2,0.3,9.3897,0.6418
0.0,0.0,0.4,9.4548,1.5244
0.0,0.2,0.4,10.0036,1.904
0.0,0.3,0.5,10.2041,1.8974
0.0,0.3,0.3,10.3569,2.1894
0.0,0.1,0.5,10.6312,1.6919
0.0,0.4,0.4,10.9862,3.3641
0.0,0.5,0.1,11.3411,4.0613
0.0,0.5,0.4,11.41,2.4738
0.0,0.1,0.3,11.8126,6.2148
0.0,0.4,0.1,12.0713,4.0067
0.0,0.1,0.2,12.3725,4.8264
0.0,0.5,0.3,12.5521,7.8111
0.0,0.0,0.3,12.764,8.4954
0.0,0.1,0.4,13.1811,4.9668
0.0,0.1,0.0,13.2959,3.142
0.0,0.4,0.0,13.4822,2.3559
0.0,0.2,0.2,13.6123,8.2146
0.0,0.2,0.0,13.7877,4.2889
0.0,0.4,0.5,13.8929,9.1375
0.0,0.0,0.1,14.385,9.5893
0.0,0.5,0.5,15.0117,10.951
0.0,0.4,0.3,15.1745,11.059
0.0,0.3,0.2,15.274,8.4202
0.0,0.4,0.2,15.9491,9.7978
0.0,0.1,0.1,16.6175,13.7077
0.0,0.5,0.0,17.1785,4.9384
0.1,0.0,0.0,17.9356,8.4895
0.0,0.2,0.5,18.1382,17.0487
0.0,0.3,0.0,18.3361,9.807
0.0,0.0,0.5,18.6168,8.3568
0.0,0.0,0.0,21.7588,11.2842
0.1,0.0,0.3,27.7531,18.0582
0.1,0.1,0.3,27.8361,17.794
0.1,0.0,0.2,28.9706,11.2175
0.1,0.1,0.2,29.4336,20.8131
0.1,0.0,0.4,29.489,16.3595
0.1,0.3,0.1,29.9716,12.5718
0.1,0.2,0.5,30.5809,15.9398
0.1,0.3,0.4,30.6897,20.9098
0.1,0.1,0.0,31.6387,16.8865
0.1,0.4,0.5,32.0267,18.3982
0.1,0.2,0.3,32.4218,14.4085
0.1,0.3,0.3,32.5073,22.3352
0.1,0.5,0.4,33.187,18.2208
0.1,0.0,0.1,33.8396,13.7372
