SMOTE,CTGAN,TVAE,mean,std
0.0,0.0,0.3,0.8302,0.0463
0.0,0.1,0.2,0.8411,0.0542
0.0,0.0,0.2,0.857,0.0522
0.1,0.0,0.0,0.8575,0.0279
0.0,0.0,0.1,0.8652,0.0185
0.0,0.1,0.4,0.8679,0.0602
0.0,0.3,0.4,0.8686,0.0631
0.0,0.1,0.0,0.8761,0.0185
0.0,0.3,0.0,0.8798,0.0144
0.0,0.3,0.3,0.8799,0.0139
0.0,0.1,0.1,0.8804,0.0262
0.0,0.3,0.5,0.8846,0.0171
0.0,0.1,0.3,0.8862,0.01
0.0,0.2,0.4,0.8884,0.0155
0.0,0.0,0.0,0.8889,0.0101
0.0,0.2,0.3,0.8929,0.002
0.0,0.1,0.5,0.8971,0.0023
0.0,0.2,0.5,0.8997,0.0019
0.0,0.2,0.2,0.905,0.0033
0.0,0.3,0.1,0.9066,0.0023
0.0,0.2,0.0,0.9066,0.0022
0.0,0.3,0.2,0.9078,0.0022
0.0,0.2,0.1,0.9093,0.0037
