SMOTE,CTGAN,TVAE,mean,std
0.0,0.5,0.5,0.5155,0.0145
0.1,0.3,0.4,0.5164,0.0068
0.0,0.2,0.4,0.5168,0.0138
0.1,0.2,0.5,0.5176,0.0135
0.1,0.0,0.5,0.5207,0.0033
0.1,0.1,0.5,0.5222,0.0051
0.0,0.3,0.5,0.5224,0.0057
0.1,0.1,0.4,0.5227,0.0085
0.1,0.3,0.2,0.5239,0.0149
0.1,0.3,0.0,0.524,0.0066
0.1,0.0,0.4,0.5248,0.0098
0.1,0.2,0.4,0.5253,0.0037
0.0,0.4,0.5,0.5254,0.0102
0.1,0.2,0.3,0.5259,0.0073
0.1,0.1,0.2,0.5263,0.0072
0.0,0.0,0.5,0.5264,0.0041
0.1,0.0,0.2,0.5266,0.0038
0.1,0.1,0.3,0.5278,0.0066
0.0,0.3,0.4,0.5278,0.0075
0.0,0.4,0.4,0.5285,0.004
0.0,0.5,0.4,0.5286,0.008
0.0,0.4,0.3,0.529,0.0088
0.0,0.4,0.2,0.5305,0.0061
0.1,0.3,0.3,0.5305,0.0083
0.1,0.1,0.0,0.5307,0.0054
0.0,0.2,0.5,0.5307,0.0091
0.0,0.0,0.4,0.5308,0.0051
0.0,0.1,0.5,0.5312,0.0113
0.0,0.5,0.3,0.5315,0.0162
0.1,0.2,0.0,0.5315,0.006
0.0,0.1,0.4,0.5317,0.0067
0.0,0.2,0.3,0.5321,0.006
0.0,0.0,0.3,0.5327,0.0043
0.1,0.0,0.3,0.5329,0.0018
0.0,0.5,0.0,0.533,0.0099
0.1,0.2,0.1,0.5353,0.0028
0.1,0.0,0.1,0.5355,0.0094
0.0,0.5,0.2,0.5356,0.0032
0.1,0.0,0.0,0.5366,0.0049
0.0,0.4,0.0,0.5367,0.0085
0.1,0.3,0.1,0.5373,0.0033
0.0,0.1,0.2,0.5377,0.0043
0.0,0.4,0.1,0.5379,0.0051
0.0,0.1,0.1,0.5379,0.0081
0.1,0.2,0.2,0.5379,0.0067
0.0,0.2,0.0,0.5381,0.0029
0.0,0.0,0.2,0.5381,0.0032
0.0,0.3,0.2,0.5384,0.0125
0.0,0.1,0.3,0.5385,0.0031
0.0,0.2,0.2,0.539,0.0058
0.0,0.3,0.3,0.5394,0.0036
0.0,0.1,0.0,0.54,0.0021
0.1,0.1,0.1,0.5407,0.0058
0.0,0.2,0.1,0.5417,0.0054
0.0,0.0,0.1,0.5429,0.0036
0.0,0.0,0.0,0.544,0.0079
0.0,0.3,0.1,0.5442,0.0025
0.0,0.3,0.0,0.5482,0.0036
0.0,0.5,0.1,0.5483,0.0097
