SMOTE,CTGAN,TVAE,mean,std
0.0,0.0,0.0,12.6099,0.2799
0.1,0.0,0.0,13.142,0.3904
0.5,0.0,0.0,13.7854,0.6582
0.2,0.0,0.0,13.8339,0.7882
0.4,0.0,0.0,13.948,0.9896
0.1,0.2,0.1,14.4909,1.2596
0.3,0.0,0.0,14.5255,0.9483
0.0,0.5,0.1,14.7351,1.2745
0.0,0.0,0.1,14.834,0.6203
0.2,0.1,0.1,14.8585,0.5698
0.2,0.2,0.1,14.9026,0.5436
0.0,0.1,0.1,15.0216,0.7499
0.3,0.2,0.1,15.0252,0.6054
0.1,0.1,0.1,15.033,1.1722
0.0,0.4,0.1,15.0764,0.7486
0.5,0.1,0.1,15.1092,1.0489
0.5,0.2,0.1,15.2747,1.2101
0.5,0.3,0.1,15.4099,0.7685
0.4,0.2,0.1,15.4501,0.4897
0.1,0.5,0.1,15.493,1.0513
0.4,0.1,0.1,15.5255,0.7258
0.0,0.0,0.2,15.6252,0.6762
0.1,0.4,0.1,15.6427,1.4728
0.2,0.0,0.1,15.644,0.6151
0.0,0.3,0.1,15.7037,0.7541
0.1,0.0,0.1,15.87,1.1803
0.3,0.4,0.1,15.8872,1.0803
0.2,0.4,0.1,15.9377,0.4708
0.4,0.4,0.1,15.953,0.9933
0.2,0.3,0.1,16.0532,1.5347
0.2,0.5,0.1,16.0707,0.7598
0.3,0.0,0.1,16.1095,1.0568
0.5,0.5,0.1,16.1411,1.7111
0.3,0.5,0.1,16.157,0.2772
0.4,0.3,0.1,16.169,1.145
0.0,0.2,0.1,16.2178,0.5851
0.5,0.0,0.1,16.2301,1.1037
0.0,0.2,0.2,16.2714,0.7641
0.0,0.1,0.2,16.3175,0.661
0.1,0.4,0.2,16.3274,1.0132
0.3,0.3,0.1,16.364,1.4443
0.5,0.4,0.1,16.4774,0.701
0.4,0.5,0.1,16.4953,0.8598
0.3,0.1,0.1,16.5774,1.933
0.1,0.2,0.2,16.6732,0.5134
0.4,0.0,0.1,16.6776,1.0795
0.5,0.5,0.2,16.6954,1.3355
0.2,0.4,0.2,17.0031,1.1357
0.1,0.3,0.1,17.0039,1.0116
0.0,0.5,0.2,17.0831,2.7969
0.2,0.0,0.2,17.1806,1.5349
0.5,0.1,0.2,17.1824,0.7165
0.5,0.4,0.2,17.1885,0.8245
0.5,0.0,0.2,17.2871,0.7957
0.0,0.3,0.2,17.3199,2.4738
0.0,0.4,0.2,17.3819,1.3781
0.0,0.5,0.3,17.442,1.2101
0.0,0.0,0.3,17.4775,0.5116
0.3,0.0,0.2,17.4802,0.8101
0.1,0.0,0.3,17.4858,0.5652
0.2,0.1,0.2,17.4927,0.8252
0.4,0.0,0.2,17.5016,0.8428
0.3,0.4,0.2,17.5119,1.6703
0.1,0.1,0.2,17.5201,1.0147
0.1,0.5,0.3,17.5234,1.1938
0.0,0.1,0.3,17.5885,0.8305
0.3,0.2,0.2,17.6019,0.7874
0.5,0.5,0.3,17.628,1.5863
0.4,0.4,0.2,17.6396,1.542
0.2,0.0,0.3,17.7113,0.7156
0.5,0.0,0.3,17.7116,0.6939
0.3,0.5,0.2,17.8056,1.401
0.0,0.4,0.3,17.8531,1.3954
0.3,0.2,0.3,17.8764,0.6842
0.5,0.2,0.2,17.8851,0.8496
0.1,0.2,0.3,17.8901,0.5915
0.4,0.2,0.2,17.8987,0.69
0.1,0.0,0.2,17.9152,0.6664
0.4,0.1,0.2,17.9157,1.9031
0.2,0.3,0.4,17.9212,0.7667
0.3,0.5,0.3,17.9276,0.8874
0.4,0.2,0.3,17.9587,0.7699
0.5,0.2,0.3,17.9726,0.5591
0.5,0.3,0.2,18.0277,0.9135
0.4,0.0,0.3,18.0327,0.6162
0.3,0.1,0.2,18.0639,0.9548
0.2,0.3,0.2,18.1194,0.8334
0.3,0.0,0.3,18.1675,1.0679
0.0,0.3,0.4,18.1782,1.6936
0.0,0.3,0.3,18.2762,2.4848
0.0,0.2,0.4,18.3365,1.3102
0.1,0.4,0.3,18.4254,0.9223
0.2,0.5,0.3,18.5184,0.8084
0.1,0.5,0.2,18.5415,0.7352
0.3,0.3,0.2,18.5424,1.9336
0.5,0.4,0.3,18.5512,1.0198
0.2,0.5,0.2,18.6017,1.3578
0.2,0.2,0.3,18.6494,0.358
0.4,0.1,0.4,18.6718,1.0289
0.4,0.5,0.2,18.7186,1.2738
0.3,0.4,0.3,18.7365,1.4714
0.4,0.3,0.4,18.8126,1.0435
0.2,0.2,0.2,18.8143,0.9327
0.1,0.3,0.4,18.8738,1.7776
0.3,0.3,0.4,18.9517,0.7858
0.4,0.2,0.4,19.0059,0.4949
0.4,0.5,0.3,19.0454,1.1862
0.0,0.0,0.4,19.0802,1.1698
0.1,0.3,0.3,19.1081,0.6671
0.1,0.3,0.2,19.1415,0.7551
0.0,0.4,0.4,19.1583,2.0267
0.4,0.4,0.3,19.1821,1.6355
0.4,0.3,0.2,19.2332,0.8395
0.5,0.1,0.4,19.2667,1.0409
0.0,0.1,0.4,19.3112,1.0364
0.5,0.2,0.4,19.335,1.2228
0.2,0.3,0.3,19.3489,1.0385
0.3,0.3,0.3,19.3698,0.515
0.1,0.1,0.4,19.4199,0.3366
0.3,0.1,0.4,19.4318,1.7698
0.2,0.5,0.4,19.4947,1.4771
0.4,0.3,0.3,19.5284,1.382
0.2,0.2,0.4,19.5461,0.8273
0.5,0.3,0.3,19.633,0.9369
0.3,0.4,0.4,19.6351,0.6666
0.2,0.4,0.4,19.6527,0.9066
0.1,0.2,0.4,19.7379,2.483
0.1,0.0,0.4,19.8785,1.1453
0.2,0.4,0.3,19.9204,1.1406
0.4,0.0,0.4,19.957,0.6375
0.1,0.4,0.4,20.0434,1.4146
0.1,0.5,0.4,20.0611,1.3376
0.5,0.5,0.4,20.0867,2.1851
0.5,0.4,0.4,20.1717,1.5523
0.4,0.4,0.4,20.2921,0.7867
0.3,0.2,0.4,20.3332,0.5183
0.5,0.3,0.4,20.3763,0.8468
0.1,0.2,0.5,20.4075,1.233
0.3,0.0,0.4,20.447,0.8156
0.0,0.0,0.5,20.567,1.7018
0.0,0.1,0.0,20.6079,1.5465
0.2,0.3,0.5,20.6142,0.473
0.2,0.1,0.4,20.7197,1.3107
0.1,0.3,0.5,20.7719,0.8666
0.1,0.1,0.0,20.8169,1.1964
0.5,0.0,0.4,20.8278,0.9073
0.3,0.5,0.4,20.8435,1.3406
0.0,0.3,0.5,20.8451,1.5887
0.0,0.2,0.0,20.8537,1.6612
0.4,0.5,0.4,20.9304,1.5892
0.0,0.2,0.5,21.1046,2.2046
0.0,0.4,0.5,21.3285,2.0935
0.2,0.0,0.5,21.3407,1.1551
0.4,0.3,0.5,21.3714,0.8759
0.1,0.0,0.5,21.3983,1.0566
0.2,0.0,0.4,21.4443,1.4941
0.3,0.0,0.5,21.4543,1.5757
0.2,0.2,0.5,21.5282,1.8126
0.4,0.1,0.0,21.5484,1.9012
0.0,0.5,0.5,21.6255,1.1286
0.5,0.1,0.0,21.6471,2.6985
0.0,0.4,0.0,21.6753,2.4261
0.3,0.4,0.5,21.7415,1.8257
0.3,0.5,0.5,21.7726,0.6222
0.4,0.2,0.5,21.7922,0.9268
0.4,0.0,0.5,21.8761,1.468
0.5,0.0,0.5,21.948,1.1692
0.1,0.5,0.5,21.9609,1.0718
0.2,0.5,0.5,21.9897,0.809
0.1,0.1,0.5,21.996,1.8836
0.5,0.3,0.5,22.0217,0.8275
0.5,0.2,0.5,22.0453,1.7964
0.0,0.1,0.5,22.0825,1.0824
0.3,0.3,0.5,22.1747,1.4808
0.4,0.5,0.5,22.2337,0.8725
0.5,0.5,0.5,22.2486,2.1836
