SMOTE,CTGAN,TVAE,mean,std
0.5,0.5,0.0,0.5458,0.1446
0.5,0.5,0.1,0.5667,0.1032
0.5,0.1,0.1,0.5667,0.1032
0.5,0.2,0.1,0.5667,0.1032
0.5,0.3,0.1,0.5667,0.1032
0.5,0.4,0.1,0.5667,0.1032
0.5,0.0,0.0,0.5875,0.1098
0.5,0.0,0.2,0.6042,0.0903
0.5,0.2,0.0,0.6125,0.0386
0.5,0.1,0.0,0.6292,0.0306
0.5,0.4,0.0,0.6375,0.0956
0.5,0.0,0.5,0.6375,0.0819
0.4,0.5,0.0,0.6375,0.0654
0.5,0.0,0.3,0.6458,0.0228
0.5,0.1,0.4,0.6458,0.0186
0.5,0.4,0.4,0.6458,0.0186
0.5,0.2,0.4,0.6458,0.0186
0.5,0.5,0.4,0.6458,0.0186
0.5,0.3,0.4,0.6458,0.0186
0.4,0.1,0.0,0.6458,0.0475
0.5,0.0,0.4,0.65,0.0404
0.4,0.0,0.0,0.6583,0.1205
0.3,0.0,0.0,0.6583,0.1685
0.4,0.3,0.0,0.6625,0.075
0.5,0.1,0.2,0.6667,0.0844
0.5,0.5,0.2,0.6667,0.0844
0.5,0.2,0.2,0.6667,0.0844
0.5,0.3,0.2,0.6667,0.0844
0.5,0.4,0.2,0.6667,0.0844
0.5,0.4,0.3,0.6708,0.0306
0.5,0.3,0.3,0.6708,0.0306
0.5,0.0,0.1,0.6708,0.0795
0.5,0.2,0.3,0.6708,0.0306
0.5,0.1,0.3,0.6708,0.0306
0.5,0.5,0.3,0.6708,0.0306
0.4,0.2,0.0,0.675,0.0937
0.4,0.0,0.3,0.6833,0.1167
0.4,0.0,0.2,0.6875,0.0884
0.5,0.3,0.0,0.6875,0.0228
0.4,0.3,0.3,0.6917,0.0517
0.4,0.5,0.3,0.6917,0.0517
0.4,0.1,0.3,0.6917,0.0517
0.4,0.4,0.3,0.6917,0.0517
0.4,0.2,0.3,0.6917,0.0517
0.4,0.3,0.2,0.6958,0.0797
0.4,0.1,0.2,0.6958,0.0797
0.4,0.2,0.2,0.6958,0.0797
0.4,0.4,0.2,0.6958,0.0797
0.4,0.5,0.2,0.6958,0.0797
0.5,0.1,0.5,0.7042,0.05
0.5,0.2,0.5,0.7042,0.05
0.5,0.3,0.5,0.7042,0.05
0.5,0.4,0.5,0.7042,0.05
0.5,0.5,0.5,0.7042,0.05
0.4,0.1,0.4,0.7083,0.0543
0.4,0.2,0.1,0.7083,0.0659
0.4,0.1,0.1,0.7083,0.0659
0.4,0.3,0.4,0.7083,0.0543
0.4,0.2,0.4,0.7083,0.0543
0.4,0.3,0.1,0.7083,0.0659
0.4,0.4,0.1,0.7083,0.0659
0.4,0.4,0.4,0.7083,0.0543
0.4,0.5,0.4,0.7083,0.0543
0.4,0.5,0.1,0.7083,0.0659
0.4,0.0,0.1,0.7125,0.075
0.4,0.0,0.5,0.7333,0.055
0.4,0.4,0.0,0.7417,0.0408
0.4,0.0,0.4,0.7417,0.0429
0.3,0.3,0.0,0.7458,0.0888
0.4,0.5,0.5,0.75,0.0295
0.4,0.2,0.5,0.75,0.0295
0.4,0.3,0.5,0.75,0.0295
0.4,0.1,0.5,0.75,0.0295
0.4,0.4,0.5,0.75,0.0295
0.3,0.1,0.1,0.7542,0.0404
0.3,0.2,0.1,0.7542,0.0404
0.3,0.3,0.1,0.7542,0.0404
0.3,0.4,0.1,0.7542,0.0404
0.3,0.5,0.1,0.7542,0.0404
0.3,0.4,0.0,0.7583,0.0553
0.3,0.0,0.1,0.7667,0.055
0.3,0.3,0.3,0.7708,0.0475
0.3,0.3,0.2,0.7708,0.0417
0.3,0.4,0.3,0.7708,0.0475
0.3,0.2,0.3,0.7708,0.0475
0.3,0.2,0.2,0.7708,0.0417
0.3,0.4,0.2,0.7708,0.0417
0.3,0.1,0.3,0.7708,0.0475
