SMOTE,CTGAN,TVAE,mean,std
0.1,0.0,0.1,0.6972,0.0207
0.0,0.4,0.0,0.7054,0.0105
0.0,0.0,0.4,0.7087,0.0224
0.0,0.0,0.1,0.7103,0.018
0.0,0.3,0.5,0.7111,0.0185
0.0,0.4,0.4,0.7115,0.0101
0.0,0.0,0.3,0.7117,0.0104
0.0,0.2,0.5,0.7127,0.019
0.0,0.0,0.5,0.7129,0.0182
0.0,0.1,0.3,0.7162,0.026
0.0,0.3,0.2,0.7163,0.0178
0.0,0.1,0.5,0.7175,0.0131
0.0,0.5,0.5,0.7199,0.0144
0.0,0.5,0.3,0.7201,0.0213
0.0,0.3,0.4,0.7203,0.0203
0.0,0.2,0.1,0.7211,0.0136
0.0,0.4,0.3,0.7212,0.0184
0.0,0.0,0.2,0.7228,0.0209
0.0,0.3,0.1,0.7232,0.0249
0.0,0.1,0.4,0.7238,0.019
0.0,0.4,0.2,0.7244,0.0107
0.0,0.2,0.3,0.7244,0.0143
0.0,0.2,0.2,0.7245,0.0108
0.0,0.5,0.4,0.725,0.012
0.1,0.0,0.0,0.7256,0.014
0.0,0.1,0.2,0.7263,0.0267
0.0,0.2,0.4,0.7269,0.0189
0.0,0.4,0.5,0.7282,0.0258
0.0,0.4,0.1,0.7292,0.0306
0.0,0.1,0.0,0.7339,0.014
0.0,0.3,0.0,0.7341,0.0158
0.0,0.2,0.0,0.7351,0.0055
0.0,0.1,0.1,0.7355,0.0241
0.0,0.0,0.0,0.7357,0.0303
0.0,0.3,0.3,0.7371,0.0081
