SMOTE,CTGAN,TVAE,mean,std
0.0,0.1,0.1,2.3563,0.2099
0.0,0.1,0.2,2.3733,0.1562
0.0,0.0,0.4,2.4985,0.243
0.0,0.1,0.3,2.5159,0.3743
0.0,0.4,0.3,2.5171,0.4683
0.0,0.4,0.2,2.5212,0.0631
0.0,0.4,0.1,2.524,0.4202
0.0,0.5,0.2,2.5465,0.4362
0.0,0.2,0.3,2.5591,0.2908
0.0,0.4,0.4,2.5621,0.3838
0.0,0.2,0.5,2.5726,0.4271
0.0,0.3,0.2,2.575,0.4082
0.0,0.0,0.3,2.5877,0.2124
0.0,0.3,0.5,2.6327,0.3448
0.0,0.0,0.0,2.6392,0.5415
0.0,0.5,0.1,2.6408,0.3596
0.0,0.4,0.5,2.6447,0.4699
0.0,0.5,0.4,2.6492,0.3464
0.0,0.0,0.1,2.6508,0.1696
0.0,0.5,0.3,2.6527,0.3133
0.0,0.0,0.2,2.6626,0.366
0.0,0.3,0.1,2.6659,0.279
0.0,0.1,0.4,2.6694,0.2613
0.0,0.3,0.3,2.684,0.2363
0.0,0.5,0.5,2.6969,0.1911
0.0,0.2,0.4,2.6994,0.3148
0.0,0.0,0.5,2.7047,0.321
0.0,0.1,0.0,2.7053,0.2566
0.0,0.3,0.4,2.7184,0.3618
0.0,0.2,0.2,2.7253,0.4509
0.0,0.2,0.1,2.7274,0.3069
0.0,0.1,0.5,2.8833,0.4313
0.0,0.2,0.0,3.1647,0.4555
0.0,0.3,0.0,3.3882,0.5382
0.0,0.4,0.0,3.7485,0.3826
0.0,0.5,0.0,3.9045,0.7313
0.1,0.0,0.0,7.4695,3.1096
0.1,0.1,0.0,14.2106,8.9151
0.1,0.4,0.5,14.5388,10.0276
0.1,0.0,0.5,14.8066,10.0689
0.1,0.4,0.2,14.9036,10.2841
0.1,0.1,0.5,14.9335,9.9429
0.1,0.0,0.2,14.976,9.9751
0.1,0.3,0.5,15.2723,9.7471
0.1,0.5,0.4,15.3249,10.1793
0.1,0.2,0.5,15.3379,10.4442
0.1,0.3,0.1,15.3414,9.5906
0.1,0.5,0.3,15.3845,10.6683
0.1,0.1,0.2,15.4412,10.4878
0.1,0.2,0.2,15.4891,10.4024
0.1,0.1,0.1,15.5362,9.358
0.1,0.5,0.2,15.7342,10.0697
0.1,0.5,0.1,15.7665,10.0572
0.1,0.4,0.0,15.7801,10.2571
0.1,0.4,0.3,15.7997,11.0131
0.1,0.2,0.3,15.8287,10.5818
0.1,0.5,0.0,15.8339,9.8428
0.1,0.0,0.1,15.8765,9.5277
0.1,0.2,0.4,15.8846,10.1501
0.1,0.3,0.2,15.9772,10.1888
