SMOTE,CTGAN,TVAE,mean,std
0.4,0.0,0.5,0.7385,0.0014
0.4,0.0,0.4,0.7416,0.0017
0.4,0.0,0.3,0.744,0.002
0.4,0.0,0.2,0.7483,0.0019
0.4,0.1,0.1,0.7499,0.002
0.4,0.0,0.1,0.7501,0.0018
0.4,0.0,0.0,0.7535,0.0025
0.4,0.1,0.0,0.7537,0.0032
0.3,0.1,0.5,0.7629,0.0015
0.3,0.5,0.5,0.7642,0.002
0.3,0.2,0.5,0.7642,0.0015
0.3,0.4,0.5,0.7643,0.0012
0.3,0.0,0.5,0.7644,0.0015
0.3,0.3,0.5,0.7645,0.002
0.3,0.0,0.4,0.7648,0.0028
0.3,0.3,0.4,0.7662,0.0024
0.3,0.5,0.4,0.7662,0.0011
0.3,0.1,0.4,0.7664,0.002
0.3,0.4,0.4,0.7665,0.0017
0.3,0.2,0.4,0.7667,0.0012
0.3,0.5,0.0,0.7676,0.0022
0.3,0.3,0.3,0.7678,0.0015
0.3,0.5,0.3,0.7679,0.0011
0.3,0.0,0.3,0.7685,0.0009
0.3,0.2,0.3,0.7686,0.0022
0.3,0.1,0.3,0.7686,0.0016
0.3,0.4,0.3,0.7689,0.0017
0.3,0.4,0.0,0.7703,0.0021
0.3,0.3,0.2,0.7705,0.001
0.3,0.2,0.2,0.7712,0.0012
0.3,0.0,0.2,0.7716,0.0008
0.3,0.4,0.2,0.772,0.0027
0.3,0.1,0.2,0.7721,0.0018
0.3,0.5,0.2,0.7726,0.0024
0.3,0.3,0.0,0.7733,0.002
0.3,0.3,0.1,0.7739,0.0012
0.3,0.4,0.1,0.7741,0.0016
0.3,0.1,0.1,0.7747,0.0027
0.3,0.5,0.1,0.7748,0.0018
0.3,0.0,0.1,0.7751,0.0015
0.3,0.2,0.1,0.7755,0.0032
0.3,0.2,0.0,0.7758,0.0037
0.3,0.1,0.0,0.7799,0.0025
0.3,0.0,0.0,0.7812,0.0034
0.2,0.3,0.5,0.7907,0.0016
0.2,0.0,0.5,0.7907,0.0019
0.2,0.5,0.5,0.791,0.0013
0.2,0.4,0.5,0.7911,0.0015
0.2,0.1,0.5,0.7913,0.0011
0.2,0.2,0.5,0.7918,0.0014
0.2,0.5,0.0,0.7929,0.0023
0.2,0.0,0.4,0.7929,0.003
0.2,0.2,0.4,0.793,0.0015
0.2,0.1,0.4,0.7933,0.0022
0.2,0.3,0.4,0.7935,0.002
0.2,0.4,0.4,0.7946,0.0016
0.2,0.5,0.4,0.7947,0.0026
0.2,0.4,0.0,0.7958,0.0014
0.2,0.2,0.3,0.7958,0.0021
0.2,0.1,0.3,0.7959,0.0011
0.2,0.3,0.3,0.7961,0.0019
0.2,0.5,0.3,0.7961,0.0012
0.2,0.4,0.3,0.7963,0.0022
0.2,0.0,0.3,0.7966,0.0008
0.2,0.5,0.2,0.7986,0.0008
0.2,0.3,0.2,0.799,0.0021
0.2,0.0,0.2,0.7991,0.0014
0.2,0.4,0.2,0.7995,0.0008
0.2,0.2,0.2,0.8001,0.002
0.2,0.3,0.0,0.8002,0.0021
0.2,0.1,0.2,0.8003,0.0021
0.2,0.4,0.1,0.8023,0.0018
0.2,0.0,0.1,0.8024,0.001
0.2,0.1,0.1,0.8026,0.0016
0.2,0.3,0.1,0.8027,0.0007
0.2,0.2,0.1,0.8027,0.002
0.2,0.5,0.1,0.8031,0.0015
0.2,0.2,0.0,0.8035,0.0022
0.2,0.1,0.0,0.807,0.002
0.2,0.0,0.0,0.8099,0.0056
0.1,0.1,0.5,0.8168,0.0012
0.1,0.5,0.5,0.8172,0.0018
0.1,0.3,0.5,0.8177,0.0021
0.1,0.0,0.5,0.818,0.0016
0.1,0.2,0.5,0.8183,0.001
0.1,0.4,0.5,0.8187,0.002
0.1,0.5,0.0,0.82,0.003
0.1,0.3,0.4,0.8206,0.0015
0.1,0.1,0.4,0.8207,0.0016
0.1,0.5,0.4,0.8207,0.0023
0.1,0.4,0.4,0.8209,0.0008
0.1,0.2,0.4,0.8212,0.0011
0.1,0.0,0.4,0.8216,0.0019
0.1,0.3,0.3,0.8227,0.0015
0.1,0.2,0.3,0.823,0.0019
0.1,0.5,0.3,0.8231,0.0022
0.1,0.4,0.0,0.8236,0.0018
0.1,0.1,0.3,0.8237,0.0012
0.1,0.4,0.3,0.8244,0.0022
0.1,0.0,0.3,0.8245,0.0018
0.1,0.1,0.2,0.8267,0.0021
0.1,0.4,0.2,0.8276,0.0031
0.1,0.0,0.2,0.8277,0.0015
0.1,0.2,0.2,0.828,0.0022
0.1,0.3,0.2,0.828,0.0019
0.1,0.3,0.0,0.8282,0.0012
0.1,0.5,0.2,0.8288,0.0021
0.1,0.3,0.1,0.8299,0.0032
0.1,0.2,0.1,0.8305,0.0018
0.1,0.1,0.1,0.8311,0.0025
0.1,0.2,0.0,0.8312,0.0022
0.1,0.4,0.1,0.8313,0.0016
0.1,0.5,0.1,0.8315,0.0014
0.1,0.0,0.1,0.8316,0.0022
0.1,0.1,0.0,0.8365,0.0008
0.1,0.0,0.0,0.8423,0.0067
0.0,0.2,0.5,0.8446,0.0017
0.0,0.0,0.5,0.8456,0.0021
0.0,0.4,0.5,0.8461,0.002
0.0,0.3,0.5,0.8461,0.0012
0.0,0.5,0.0,0.8462,0.0024
0.0,0.5,0.5,0.8464,0.0016
0.0,0.1,0.5,0.8465,0.0016
0.0,0.0,0.4,0.8478,0.001
0.0,0.2,0.4,0.8481,0.001
0.0,0.4,0.4,0.8488,0.003
0.0,0.3,0.4,0.8488,0.0013
0.0,0.1,0.4,0.8493,0.0014
0.0,0.5,0.4,0.8501,0.0012
0.0,0.4,0.0,0.8501,0.0009
0.0,0.4,0.3,0.8512,0.0006
0.0,0.1,0.3,0.8512,0.0022
0.0,0.5,0.3,0.8517,0.0017
0.0,0.2,0.3,0.8518,0.0022
0.0,0.0,0.3,0.8518,0.0011
0.0,0.3,0.3,0.8524,0.0007
0.0,0.3,0.0,0.8545,0.0009
0.0,0.0,0.2,0.8566,0.0017
0.0,0.5,0.2,0.857,0.0012
0.0,0.4,0.2,0.8571,0.0015
