SMOTE,CTGAN,TVAE,mean,std
0.5,0.5,0.0,0.5566,0.0046
0.5,0.2,0.5,0.5586,0.0041
0.5,0.0,0.5,0.5611,0.0029
0.5,0.4,0.5,0.5614,0.0033
0.5,0.5,0.5,0.5615,0.0032
0.5,0.1,0.5,0.5626,0.0056
0.5,0.3,0.5,0.5626,0.0047
0.5,0.4,0.0,0.5641,0.0057
0.5,0.2,0.4,0.5642,0.0058
0.5,0.4,0.4,0.5649,0.0076
0.5,0.5,0.4,0.5653,0.0022
0.5,0.3,0.0,0.567,0.0035
0.5,0.0,0.4,0.5674,0.0073
0.5,0.3,0.4,0.5685,0.0038
0.5,0.5,0.3,0.569,0.003
0.5,0.4,0.3,0.5696,0.0071
0.5,0.0,0.3,0.5709,0.0032
0.5,0.1,0.3,0.5713,0.0057
0.5,0.1,0.4,0.5722,0.0028
0.5,0.3,0.3,0.5729,0.0033
0.4,0.5,0.0,0.5731,0.0066
0.5,0.2,0.3,0.5734,0.0059
0.4,0.2,0.5,0.5748,0.0091
0.5,0.5,0.2,0.5754,0.005
0.5,0.2,0.0,0.5763,0.0048
0.5,0.1,0.2,0.5776,0.0037
0.5,0.4,0.2,0.5784,0.0034
0.5,0.2,0.2,0.5793,0.0069
0.5,0.1,0.1,0.5797,0.0044
0.5,0.5,0.1,0.5798,0.006
0.4,0.5,0.5,0.58,0.0032
0.5,0.3,0.2,0.5806,0.0045
0.4,0.0,0.5,0.5808,0.0048
0.4,0.4,0.0,0.5817,0.0033
0.4,0.5,0.4,0.5822,0.0055
0.4,0.1,0.5,0.5822,0.0093
0.4,0.3,0.5,0.5824,0.0055
0.4,0.4,0.5,0.5824,0.0043
0.4,0.2,0.4,0.5836,0.0052
0.5,0.1,0.0,0.5837,0.0016
0.5,0.0,0.2,0.5837,0.0034
0.4,0.3,0.4,0.5847,0.0052
0.5,0.2,0.1,0.5848,0.0052
0.5,0.3,0.1,0.5858,0.0077
0.4,0.0,0.4,0.586,0.0066
0.5,0.0,0.1,0.5863,0.0044
0.4,0.4,0.4,0.5864,0.0053
0.5,0.4,0.1,0.5871,0.0039
0.4,0.1,0.3,0.5886,0.0028
0.4,0.5,0.3,0.5888,0.0072
0.4,0.1,0.4,0.5896,0.0044
0.4,0.3,0.3,0.5899,0.0036
0.4,0.3,0.0,0.5906,0.004
0.4,0.4,0.3,0.591,0.0055
0.4,0.2,0.3,0.591,0.0059
0.4,0.0,0.3,0.591,0.0039
0.4,0.2,0.2,0.5912,0.0071
0.5,0.0,0.0,0.5915,0.0036
0.4,0.2,0.0,0.5928,0.0037
0.4,0.5,0.2,0.5937,0.006
0.4,0.3,0.2,0.5941,0.0068
0.3,0.5,0.0,0.5951,0.003
0.4,0.5,0.1,0.5956,0.0028
0.4,0.1,0.2,0.5958,0.0013
0.4,0.0,0.2,0.5974,0.0045
0.4,0.1,0.0,0.5988,0.0015
0.4,0.4,0.2,0.5998,0.0061
0.3,0.2,0.5,0.6,0.0045
0.4,0.0,0.1,0.6001,0.0061
0.3,0.5,0.5,0.6014,0.0047
0.3,0.5,0.4,0.6019,0.0058
0.3,0.4,0.5,0.6021,0.0054
0.3,0.3,0.5,0.6024,0.0053
0.3,0.1,0.5,0.6026,0.0042
0.4,0.3,0.1,0.6027,0.0033
0.4,0.4,0.1,0.6034,0.0048
0.4,0.2,0.1,0.6044,0.0044
0.3,0.2,0.4,0.6044,0.0053
0.3,0.3,0.4,0.6046,0.0056
0.3,0.4,0.0,0.6048,0.0034
0.4,0.1,0.1,0.6048,0.0023
0.3,0.4,0.4,0.6065,0.0027
0.3,0.0,0.5,0.607,0.0041
0.3,0.1,0.4,0.608,0.0024
0.3,0.0,0.4,0.6089,0.0018
0.3,0.2,0.3,0.6091,0.0042
0.3,0.5,0.3,0.6105,0.0045
0.3,0.3,0.0,0.6108,0.0063
0.3,0.4,0.3,0.6121,0.0055
0.4,0.0,0.0,0.6135,0.0085
0.3,0.1,0.3,0.6138,0.0018
0.3,0.3,0.3,0.6152,0.0047
0.2,0.2,0.5,0.6162,0.0075
0.3,0.3,0.2,0.6166,0.0058
0.3,0.2,0.2,0.6175,0.0028
0.2,0.5,0.0,0.6184,0.0042
