SMOTE,CTGAN,TVAE,mean,std
0.0,0.0,0.0,10.9685,0.1648
0.5,0.0,0.0,11.5399,0.4608
0.1,0.0,0.0,11.653,0.4665
0.4,0.0,0.0,11.8089,0.2939
0.3,0.0,0.0,11.8826,0.2753
0.2,0.0,0.0,12.0243,0.3383
0.0,0.2,0.1,12.5597,0.2265
0.0,0.0,0.1,12.6369,0.3397
0.0,0.4,0.1,12.7226,0.2442
0.0,0.3,0.1,12.7267,0.1833
0.0,0.1,0.1,12.8294,0.3587
0.0,0.5,0.1,12.9067,0.1833
0.1,0.5,0.1,13.2897,0.3978
0.1,0.0,0.1,13.3366,0.393
0.1,0.4,0.1,13.3397,0.2491
0.5,0.4,0.1,13.4381,0.3267
0.1,0.2,0.1,13.4382,0.3987
0.1,0.1,0.1,13.4499,0.2545
0.1,0.3,0.1,13.4811,0.3626
0.4,0.5,0.1,13.5074,0.2529
0.3,0.4,0.1,13.5153,0.2953
0.2,0.3,0.1,13.5171,0.4575
0.4,0.3,0.1,13.543,0.3569
0.2,0.5,0.1,13.5529,0.3212
0.2,0.4,0.1,13.5606,0.2815
0.4,0.0,0.1,13.6104,0.4602
0.4,0.4,0.1,13.6234,0.3231
0.5,0.5,0.1,13.6467,0.4105
0.2,0.2,0.1,13.6556,0.3399
0.0,0.5,0.2,13.7007,0.1532
0.2,0.0,0.1,13.7108,0.3446
0.3,0.0,0.1,13.7271,0.3696
0.0,0.0,0.2,13.7404,0.2464
0.3,0.3,0.1,13.7536,0.429
0.5,0.0,0.1,13.7599,0.3322
0.4,0.2,0.1,13.7717,0.4364
0.0,0.3,0.2,13.7777,0.283
0.3,0.2,0.1,13.7791,0.4272
0.0,0.1,0.2,13.7856,0.4447
0.0,0.2,0.2,13.7873,0.0644
0.5,0.1,0.1,13.7935,0.506
0.5,0.2,0.1,13.8323,0.4439
0.2,0.1,0.1,13.8369,0.4578
0.0,0.4,0.2,13.8427,0.167
0.3,0.1,0.1,13.8513,0.4278
0.3,0.5,0.1,13.8668,0.2978
0.4,0.1,0.1,13.8744,0.3511
0.5,0.3,0.1,13.9388,0.356
0.1,0.3,0.2,14.2042,0.3491
0.1,0.5,0.2,14.4178,0.288
0.1,0.0,0.2,14.4891,0.176
0.0,0.1,0.3,14.5021,0.3502
0.0,0.5,0.3,14.5187,0.215
0.0,0.4,0.3,14.5559,0.1859
0.1,0.1,0.2,14.5956,0.3029
0.1,0.4,0.2,14.6179,0.2953
0.1,0.2,0.2,14.6227,0.4044
0.0,0.0,0.3,14.6401,0.5459
0.0,0.3,0.3,14.7838,0.2764
0.2,0.4,0.2,14.7839,0.326
0.2,0.3,0.2,14.8147,0.3601
0.0,0.2,0.3,14.8176,0.3086
0.2,0.5,0.2,14.8323,0.4161
0.2,0.0,0.2,14.8469,0.1512
0.2,0.2,0.2,14.8489,0.273
0.4,0.4,0.2,14.8657,0.2925
0.2,0.1,0.2,14.9171,0.3873
0.3,0.2,0.2,14.9195,0.2514
0.5,0.4,0.2,14.925,0.5415
0.3,0.4,0.2,14.9636,0.5649
