SMOTE,CTGAN,TVAE,mean,std
0.5,0.4,0.5,0.7237,0.0091
0.5,0.1,0.5,0.7238,0.01
0.5,0.0,0.5,0.7247,0.0123
0.5,0.0,0.4,0.7252,0.0085
0.5,0.2,0.5,0.7261,0.0084
0.5,0.5,0.4,0.7265,0.009
0.5,0.5,0.5,0.7267,0.0108
0.5,0.3,0.4,0.7283,0.0119
0.5,0.3,0.5,0.7284,0.0104
0.5,0.1,0.4,0.7296,0.005
0.5,0.5,0.3,0.7312,0.0118
0.5,0.4,0.4,0.7313,0.0097
0.5,0.2,0.4,0.7315,0.0104
0.5,0.3,0.3,0.7319,0.0125
0.5,0.0,0.3,0.7325,0.0097
0.5,0.2,0.3,0.7325,0.0129
0.5,0.4,0.3,0.7331,0.0121
0.5,0.1,0.3,0.7332,0.0126
0.5,0.1,0.2,0.7335,0.0092
0.5,0.5,0.2,0.7348,0.0113
0.5,0.3,0.2,0.7353,0.0106
0.5,0.2,0.2,0.7362,0.0124
0.5,0.4,0.2,0.7364,0.0105
0.5,0.0,0.2,0.7384,0.0084
0.5,0.5,0.0,0.7384,0.0078
0.5,0.1,0.1,0.7387,0.0121
0.5,0.4,0.0,0.7402,0.0086
0.5,0.3,0.0,0.7402,0.0066
0.5,0.5,0.1,0.7412,0.0151
0.5,0.2,0.1,0.7417,0.0095
0.5,0.1,0.0,0.7422,0.0096
0.5,0.4,0.1,0.7426,0.013
0.5,0.3,0.1,0.7429,0.0143
0.5,0.2,0.0,0.7437,0.0127
0.5,0.0,0.1,0.7439,0.0119
0.4,0.4,0.5,0.7472,0.013
0.4,0.3,0.5,0.75,0.0106
0.4,0.1,0.5,0.7503,0.01
0.4,0.5,0.5,0.7512,0.0129
0.4,0.0,0.4,0.7514,0.0107
0.4,0.1,0.4,0.7515,0.0103
0.4,0.0,0.5,0.7516,0.013
0.4,0.4,0.4,0.753,0.0095
0.4,0.5,0.4,0.7533,0.0147
0.4,0.2,0.5,0.7552,0.0131
0.4,0.3,0.4,0.7553,0.0097
0.5,0.0,0.0,0.7556,0.013
0.4,0.2,0.4,0.7567,0.0098
0.4,0.2,0.3,0.7568,0.0097
0.4,0.1,0.3,0.7571,0.0071
0.4,0.0,0.3,0.7573,0.0147
0.4,0.4,0.3,0.7578,0.0109
0.4,0.4,0.0,0.7595,0.0115
0.4,0.5,0.3,0.7599,0.0128
0.4,0.3,0.3,0.76,0.0153
0.4,0.5,0.0,0.7602,0.012
0.4,0.2,0.2,0.7607,0.0122
0.4,0.4,0.2,0.7611,0.0144
0.4,0.5,0.2,0.7612,0.0127
0.4,0.0,0.2,0.7613,0.0125
0.4,0.1,0.2,0.7622,0.0133
0.4,0.3,0.2,0.7631,0.0133
0.4,0.5,0.1,0.7637,0.0126
0.4,0.3,0.1,0.7639,0.0129
0.4,0.1,0.1,0.7647,0.0135
0.4,0.0,0.1,0.7652,0.014
0.4,0.3,0.0,0.767,0.0136
0.4,0.4,0.1,0.7673,0.0103
0.4,0.2,0.1,0.7673,0.0115
0.4,0.2,0.0,0.7676,0.0122
0.4,0.1,0.0,0.77,0.01
0.3,0.4,0.5,0.7745,0.0117
0.3,0.3,0.5,0.7746,0.012
0.3,0.1,0.5,0.7759,0.0107
0.3,0.0,0.4,0.7762,0.0109
0.3,0.1,0.4,0.7762,0.0085
0.3,0.2,0.5,0.7764,0.0108
0.3,0.5,0.4,0.7767,0.0097
0.3,0.1,0.3,0.7769,0.0098
0.3,0.5,0.5,0.7781,0.0123
0.3,0.0,0.5,0.7783,0.0105
0.3,0.4,0.4,0.7783,0.0111
0.3,0.3,0.4,0.7787,0.0107
0.4,0.0,0.0,0.7796,0.0126
0.3,0.3,0.3,0.7797,0.0108
0.3,0.4,0.3,0.78,0.013
0.3,0.1,0.2,0.781,0.0137
0.3,0.2,0.4,0.7812,0.0113
0.3,0.0,0.3,0.7824,0.0094
0.3,0.2,0.3,0.7832,0.0086
0.3,0.4,0.2,0.7836,0.0115
0.3,0.3,0.2,0.7843,0.0127
0.3,0.5,0.3,0.7845,0.0099
0.3,0.2,0.2,0.7849,0.0081
0.3,0.0,0.2,0.785,0.0107
0.3,0.0,0.1,0.7862,0.0104
0.3,0.4,0.0,0.7874,0.0124
0.3,0.5,0.2,0.7877,0.0121
0.3,0.5,0.0,0.7889,0.0098
0.3,0.5,0.1,0.7891,0.012
0.3,0.1,0.1,0.7892,0.014
0.3,0.3,0.1,0.7896,0.0137
0.3,0.3,0.0,0.7913,0.0101
0.3,0.4,0.1,0.7919,0.0122
0.3,0.1,0.0,0.7926,0.0112
0.3,0.2,0.0,0.7927,0.0089
0.3,0.2,0.1,0.793,0.011
0.2,0.4,0.5,0.8008,0.0143
0.2,0.0,0.5,0.8031,0.0076
0.2,0.2,0.5,0.8031,0.0126
0.2,0.3,0.5,0.8038,0.0109
0.2,0.1,0.5,0.804,0.013
0.2,0.5,0.5,0.8047,0.0119
0.2,0.4,0.4,0.805,0.0113
0.2,0.3,0.4,0.8051,0.01
0.2,0.1,0.4,0.8057,0.0131
0.2,0.0,0.4,0.806,0.0128
0.2,0.5,0.4,0.8062,0.0125
0.2,0.3,0.3,0.8071,0.0139
0.3,0.0,0.0,0.8072,0.0098
0.2,0.1,0.3,0.8076,0.0121
0.2,0.5,0.3,0.8092,0.0118
0.2,0.2,0.3,0.8094,0.0128
0.2,0.4,0.3,0.8101,0.0111
0.2,0.0,0.3,0.8104,0.0123
0.2,0.2,0.4,0.8109,0.0114
0.2,0.1,0.2,0.8109,0.0148
0.2,0.0,0.2,0.8126,0.0145
0.2,0.3,0.2,0.8137,0.0121
0.2,0.4,0.2,0.8137,0.0131
0.2,0.5,0.2,0.814,0.0109
0.2,0.2,0.2,0.8141,0.0129
0.2,0.1,0.1,0.8162,0.013
0.2,0.0,0.1,0.8165,0.013
0.2,0.5,0.0,0.8174,0.0083
0.2,0.3,0.1,0.818,0.0153
0.2,0.5,0.1,0.8187,0.0128
0.2,0.3,0.0,0.8189,0.0091
0.2,0.4,0.0,0.8205,0.0099
0.2,0.2,0.1,0.8208,0.0141
0.2,0.2,0.0,0.8213,0.013
0.2,0.4,0.1,0.8215,0.0103
0.2,0.1,0.0,0.8238,0.01
0.1,0.4,0.5,0.829,0.0128
0.1,0.3,0.5,0.8295,0.01
0.1,0.1,0.5,0.8309,0.0124
0.1,0.2,0.5,0.8319,0.0107
0.1,0.0,0.5,0.8321,0.01
0.1,0.0,0.4,0.833,0.008
0.1,0.1,0.4,0.8335,0.0113
0.1,0.5,0.5,0.8337,0.009
0.1,0.3,0.4,0.834,0.0156
0.2,0.0,0.0,0.835,0.0116
0.1,0.3,0.3,0.8353,0.0127
0.1,0.4,0.4,0.8357,0.0144
0.1,0.0,0.3,0.8359,0.0131
